# Wordlist

# DATA
ID	DOCULECT	LANGUAGE_CORE	SUBGROUP	CONCEPT	COGID	TOKENS	FORM	ALIGNMENT	STRUCTURE
7868	Araona		Tacana	belly	5231	s e	ese	s e -	C V
7742	Tacana		Tacana	belly	5231	ð e	edhe	ð e -	C V
7023	Matses		Pano	belly	304	p u k u	pucu	p u k u -	C V C V
#
3725	Capanahua		Pano	below or under	5286	n a m a n	naman	n a m a n	C V C V C
1258	Cashibo		Pano	below or under	5286	n a m a ∼	na'mã	n a m a ∼	C V C V C
9578	Chacobo		Pano	below or under	5286	n a m a	namá	n a m a -	C V C V
10120	Kaxarari		Pano	below or under	5286	n a m a	niˈma	n a m a -	C V C V
5509	Sharanahua		Pano	below or under	5286	n a m a n	naman	n a m a n	C V C V C
2238	ShipiboConibo		Pano	below or under	5286	n a m a ∼	namã-	n a m a ∼	C V C V C
2787	Yaminahua		Pano	below or under	5286	n a m a ∼	nãmã	n a m a ∼	C V C V C
#
3075	Amahuaca		Pano	beverage	2772	ʔ a j a t i	háyatí	ʔ a j a t i	C V C V C V
6543	Isconahua		Pano	beverage	2772	a j a	aya	a j a - - -	V C V
5511	Sharanahua		Pano	beverage	2772	a j a t i	ayati	a j a t i -	V C V C V
#
3566	Capanahua		Pano	big	3643	ʔ a n i	hani	ʔ a n i - -	C V C V
1277	Cashibo		Pano	big	2284	tʃ a	čaa	tʃ a -	C V
#
3110	Amahuaca		Pano	bird	5795	ʔ i ts a	hítzaa	ʔ i ts a -	C V C V
3575	Capanahua		Pano	bird	5795	ʔ i ʔ s a	hihsá	ʔ i ʔ s a	C V C C V
1016	Cashibo		Pano	bird	5795	ʔ i s a	ʔisa	ʔ i s a -	C V C V
9484	Chacobo		Pano	bird	5795	i s a k a	isaca	i s a k a	V C V C V
6063	Kakataibo		Pano	bird	5795	ʔ i s a	'isá	ʔ i s a -	C V C V
1936	ShipiboConibo		Pano	bird	5795	i s a	isa	i s a - -	V C V
#
9985	Araona		Tacana	bite	5898	ts o i	tsoi	ts o i	C V V
697	HuarayoEseEjja		Tacana	bite	5898	ʃ o i	šoi-kwe	ʃ o i	C V V
8736	Tacana		Tacana	bite	5898	ts u i	tsui	ts u i	C V V
3804	Capanahua		Pano	bite	3243	p i	piquin	p i - -	C V
5043	Matses		Pano	bite	3243	p e	pe	p e - -	C V
8167	Cavinena		Tacana	bite	1608	k a r u	karu	k a r u - - - -	C V C V
4126	Moseten		Mosetén	bite	1608	k a r a u h e ʔ	ka'rau'heʔ	k a r a u h e ʔ	C V C V V C V C
8874	Tsimane		Mosetén	bite	1608	k a r a ʋ ʔ	carav’jeyaqui	k a r a ʋ ʔ - -	C V C V C C
#
9782	Araona		Tacana	bitter	6026	a p a ts e	apatse	a p a ts e	V C V C V
8248	Cavinena		Tacana	bitter	6026	p a ts e	patse	p a ts e -	C V C V
450	EseEjja		Tacana	bitter	6026	p a s e	-pase	p a s e -	C V C V
3512	Capanahua		Pano	bitter	6036	m o k a n i	mocani	m o k a n i	C V C V C V
1315	Cashibo		Pano	bitter	6036	m o k a	moka	m o k a - -	C V C V
1772	Catuquina		Pano	bitter	6036	m o k a	moka-	m o k a - -	C V C V
9569	Chacobo		Pano	bitter	6036	m o k a	moca	m o k a - -	C V C V
6547	Isconahua		Pano	bitter	6036	m o k a	moka	m o k a - -	C V C V
6064	Kakataibo		Pano	bitter	6036	m ɯ k a	muka	m ɯ k a - -	C V C V
5044	Matses		Pano	bitter	6036	m u k a	muca	m u k a - -	C V C V
5516	Sharanahua		Pano	bitter	6036	m u k a	moca	m u k a - -	C V C V
2331	ShipiboConibo		Pano	bitter	6036	m o k a	moka	m o k a - -	C V C V
2866	Yaminahua		Pano	bitter	6036	m o k a	moka	m o k a - -	C V C V
3511	Capanahua		Pano	bitter	155	k a tʃ a	cacha	k a tʃ a	C V C V
#
10049	Araona		Tacana	black	3443	s e w e	sehua	s e w e - -	C V C V
8275	Cavinena		Tacana	black	3443	s e w e	sewe	s e w e - -	C V C V
457	EseEjja		Tacana	black	3443	t e w e	-tewe	t e w e - -	C V C V
894	HuarayoEseEjja		Tacana	black	3443	t e w e	tewe	t e w e - -	C V C V
8454	Tacana		Tacana	black	3443	ð e w e n a	dhehuena	ð e w e n a	C V C V C V
2984	Amahuaca		Pano	black	6124	k ɨ tʃ ɨ ʂ ɨ n	cúchuxún	k ɨ tʃ ɨ ʂ ɨ n	C V C V C V C
9428	Chacobo		Pano	black	6124	tʃ ɨ k ɨ	chëquë	tʃ ɨ k ɨ - - -	C V C V
6548	Isconahua		Pano	black	6124	tʃ ɨ h ɨ	chehe	tʃ ɨ h ɨ - - -	C V C V
5045	Matses		Pano	black	6124	ʈʂ ɨ ʂ ɨ	ʈʂëʂë	ʈʂ ɨ ʂ ɨ - - -	C V C V
2343	ShipiboConibo		Pano	black	6124	tʃ ɨ ʂ ɨ	čɨṣ̌ɨ	tʃ ɨ ʂ ɨ - - -	C V C V
3619	Capanahua		Pano	black	5209	w i s o	huiso	w i s o	C V C V
5046	Matses		Pano	black	5209	w i s u	uisu	w i s u	C V C V
5518	Sharanahua		Pano	black	5209	β i s u	fiso	β i s u	C V C V
#
3113	Amahuaca		Pano	blood	75	h i m i	jimí	h i m i	C V C V
9776	Araona		Tacana	blood	75	a m i	ami	a m i -	V C V
3641	Capanahua		Pano	blood	75	h i m i	jimi	h i m i	C V C V
1051	Cashibo		Pano	blood	75	i m i	imi	i m i -	V C V
1488	Catuquina		Pano	blood	75	h i m i	himi	h i m i	C V C V
7969	Cavinena		Tacana	blood	75	a m i	ami	a m i -	V C V
