ID	STRUCTURE	FREQUENCY	Amahuaca	Capanahua	Cashibo	Catuquina	Chacobo	Isconahua	Kakataibo	Kaxarari	Matses	Sharanahua	ShipiboConibo	Yaminahua	COGNATESETS	CONCEPTS
3-99	V	99	i	i	i	i	i	i	i	i	i	i	i	i	4164:1, 4164:3, 4972:3, 672:3, 3158:1, 6073:1, 6073:3, 2097:1, 5034:3, 5747:1, 5747:3, 5826:1, 5826:3, 4508:1, 4508:3, 1473:1, 1473:3, 4297:3, 4297:5, 5403:1, 5403:3, 26:1, 4402:3, 5828:4, 3495:1, 3495:3, 3495:5, 4599:1, 5937:3, 4728:1, 4728:3, 279:1, 6083:4, 526:1, 526:3, 705:5, 5955:5, 1023:4, 5723:2, 3493:1, 3493:3, 4044:5, 5057:3, 5625:1, 5625:3, 59:1, 79:1, 175:3, 184:1, 263:1, 271:1, 385:3, 404:3, 426:1, 483:3, 507:1, 511:1, 770:1, 930:2, 1010:1, 1238:2, 1240:2, 1354:1, 1410:6, 1412:4, 1420:3, 1663:1, 1711:3, 1737:2, 1779:0, 1837:1, 1916:3, 2091:1, 2577:1, 2954:3, 3032:3, 3192:3, 3550:3, 3698:2, 4121:1, 4177:1, 4178:3, 4192:1, 4294:3, 4421:1, 4676:1, 4953:2, 5035:3, 5093:3, 5149:1, 5164:1, 5171:1, 5364:3, 5373:3, 5415:4, 5558:3, 5612:1, 5876:3, 5962:1	arrow / ash / axe / basket / become angry / bee / black / body / boil (something) / bow / breast / bring / buttocks / buy / carry / chest / chieftain / chili pepper / choose / cloud / cold / comb / dark / dawn / day (not night) / demon / dew / earth (soil) / egg / fart / fast / fat (organic substance) / feather / few / field / fight / finger / fire / fly (move through air) / follow / forest / fruit / gather / get / ghost / go up (ascend) / grind / grow / hair (body) / hammock / hand / hard / hear / heel / hole / join / lazy / leg / light (ignite) / lip / love / maize / meat / mighty or powerful or strong / mosquito / mother / mouth / nose / old / old man / older sister / one / only / pick up / pinch / press / pull / pursue / relatives / remember / rib / rope / rotten / salt / scrape / see / shoot / sky / small / smell (stink) / snake / soul / spider / squeeze / stand / star / stinking / stomach / summer / sun / sweet potato, yam / think (reflect) / thou / thread / tree / up / upper leg (thigh) / walk / want / wasp / wife / wind / woman / write / year / yellow / young man / younger sister
95-8	V	8	i	i	-	i	i	-	-	i	-	-	i	-	75:3, 236:5, 815:3, 2079:5, 2496:3, 2775:5, 5393:3, 6069:3	ash / beverage / blood / burning / drink / dust / first / man / mud / older brother / person / relatives / shit (defecate) / spread out / wide
28-5	V	5	i	i	-	i	i	-	-	i	a	-	-	-	2091:3, 3212:3, 4121:3, 5069:5, 5688:8	cure / earth (soil) / feather / fire / forest / leaf / medicine / rainbow / tree / wing
237-5	V	5	i	-	-	-	-	n	t	Ø	Ø	-	i	β	185:5, 985:4, 1991:3, 4038:4, 5194:6	blow (of wind) / come / move / star / wind / wrinkled
273-4	V	4	i	t	-	-	-	-	-	i	e	-	-	Ø	271:5, 608:7, 4909:5, 5914:7	bow / neck / ring / stand
296-4	V	4	i	i	i	-	ɨ	a	i	Ø	Ø	k	tʃ	t	1644:8, 3074:1, 3656:1, 4644:3	dance / embrace / fan (action) / jump / many
15-3	V	3	i	-	i	-	-	-	i	-	-	-	i	i	1581:3, 3246:3, 4257:3	bite / bring / carry / come / eat / fish / food / go / tooth
180-3	V	3	i	i	i	i	ʔ	i	-	Ø	Ø	i	i	i	5149:2, 5687:6, 6069:2	mosquito / rainbow / shit (defecate)
197-3	V	3	i	i	t	i	ia	i	Ø	Ø	Ø	i	i	ɨ	917:4, 938:1, 4754:1	leg / wide / wind
202-3	V	3	i	i	i	i	i	n	i	a	a	i	i	i	79:3, 608:3, 1240:6	bow / cloud / rotten / smell (stink) / stinking
282-3	V	3	i	i	-	-	-	-	Ø	Ø	Ø	i	i	a	678:3, 705:3, 2287:2	big / long / speak / tell / up
285-3	V	3	i	Ø	i	Ø	-	Ø	i	Ø	Ø	Ø	k	tʃ	989:3, 3075:1, 4644:1	arm / armpit / dance / embrace / jump / put
24-2	V	2	i	i	∼	i	i	n	Ø	-	n	n	∼	-	681:3, 967:3	cloud / smoke (exhaust) / worm
34-2	V	2	i	i	i	i	i	i	i	w	e	i	i	i	2577:3, 2790:2	bury / dew / earth (soil)
37-2	V	2	i	i	i	i	i	n	i	Ø	Ø	n	i	∼	4428:2, 5055:3	beard / heart
48-2	V	2	i	i	m	i	i	m	m	i	m	m	i	m	75:1, 5390:1	ant / blood / relatives
49-2	V	2	i	-	-	-	-	-	-	-	-	-	-	-	3923:5, 4707:3	husband / language / marry / wife
57-2	V	2	i	i	i	s	s	Ø	i	Ø	Ø	s	s	Ø	5484:1, 5762:1	bird / pain / sick
78-2	V	2	i	i	i	i	i	i	i	ai	i	i	w	i	4038:0, 4334:3	grass / star
84-2	V	2	i	i	i	a	s	a	i	j	Ø	a	a	a	4536:3, 4944:1	hot / louse
90-2	V	2	i	i	i	∼	n	n	i	Ø	Ø	n	∼	k	5484:3, 5962:2	pain / see / sick
137-2	V	2	i	-	Ø	o	o	Ø	Ø	Ø	Ø	-	i	-	3136:3, 4349:5	enter / flour / grind
155-2	V	2	i	i	i	i	-	i	i	Ø	Ø	-	i	-	1396:4, 2836:5	canoe / drunk
169-2	V	2	i	i	s	i	i	Ø	s	Ø	s	k	i	Ø	3136:1, 5969:1	dream (something) / enter / look / see
208-2	V	2	i	Ø	i	Ø	i	i	i	ɛ	Ø	i	i	ɨ	1100:3, 1273:1	breathe / charcoal / get tired / rest
209-2	V	2	i	i	i	Ø	ts	n	i	Ø	Ø	n	i	i	2072:4, 4536:1	cooking pot / hot
248-2	V	2	i	i	-	Ø	Ø	p	Ø	Ø	Ø	i	p	i	5802:3, 6089:5	dig / heel / shoulder / throw
329-1	V	1	i	i	a	i	i	Ø	a	Ø	Ø	Ø	m	m	2097:3	ash / light (ignite)
333-1	V	1	i	ɨ	ɨ	ɨ	Ø	i	ɨ	Ø	Ø	Ø	ɨ	ɨ	2388:1	all / finish
340-1	V	1	i	-	-	Ø	tʃ	-	-	Ø	d	Ø	-	-	2577:4	dew
348-1	V	1	i	i	i	i	i	i	i	i	e	i	i	i	3246:1	bite / eat / fish / food / tooth
351-1	V	1	i	i	i	Ø	-	Ø	i	Ø	i	Ø	t	Ø	3646:3	big / bone / grow / increase / ripe
365-1	V	1	i	i	i	n	n	Ø	i	Ø	Ø	n	n	n	4236:1	give / sell
368-1	V	1	i	i	n	-	-	-	n	Ø	Ø	n	i	i	4249:3	be born / go / walk
370-1	V	1	i	i	a	i	i	Ø	i	i	Ø	i	i	i	4332:3	bat
374-1	V	1	i	i	i	i	-	Ø	i	Ø	-	i	i	i	4405:3	bathe / swim
384-1	V	1	i	i	i	w	w	Ø	i	a	w	w	w	β	4440:1	heavy
415-1	V	1	i	i	i	i	i	w	Ø	i	w	w	i	β	5102:1	tree / wood
416-1	V	1	i	w	-	w	w	i	Ø	w	i	i	w	i	5102:2	tree / wood
452-1	V	1	i	-	Ø	Ø	Ø	i	Ø	Ø	Ø	i	-	i	5523:4	penis
454-1	V	1	i	i	n	n	i	n	n	Ø	Ø	n	i	Ø	5527:1	tail
466-1	V	1	i	o	Ø	o	i	Ø	ʃ	i	i	ʃ	o	∼	5714:1	red / ripe / yellow
469-1	V	1	i	n	Ø	i	-	Ø	-	-	-	-	∼	-	5714:4	red / ripe / yellow
486-1	V	1	i	i	Ø	i	s	Ø	Ø	Ø	i	s	i	s	5952:4	claw / fingernail
