ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	COGID	COGIDS	MORPHEMES	BORROWING	ALIGNMENT
4308	Moseten	gather	'dʸim'ha	'dʸim'ha	dʲ i m h a	None	Mosetén	3525	4843	?		dʲ i m h a
4309	Movima	gather	kul-na	kul-na	k u l + n a	None	Movima	0	4844 1968	_:verbal		k u l + n a
6031	Sharanahua	gather	topi	topi	t u p i	None	Pano	3519	4838	gather		t u p i
6303	Kakataibo	gather	bukun	bukun	β̞ ɯ k ɯ n	None	Pano	3524	4842	gather		β̞ ɯ k ɯ n
7323	Chipaya	gather	aqh-z	aqh-z	a qʰ	None	Uru-Chipaya	3522	4840	?		a qʰ
7847	Tacana	gather	dhita	dhita	ð i t a	None	Tacana	1881	2359	?		ð i t a
8327	Cavinena	gather	mepe, rada, sika	mepe	m e p e	None	Tacana	1608	2011	gather		m e p e -
8328	Cavinena	gather	mepe, rada, sika	rada	r a d a	None	Tacana	3527	4846	?		r a d a
8329	Cavinena	gather	mepe, rada, sika	sika	s i k a	None	Tacana	3523	4841	?		s i k a
9232	Tsimane	gather	ñurjeyaqui, ñuryi	ñurjeyaqui	ɲ ɨ r	None	Mosetén	3526	4845	?		ɲ ɨ r
9532	Chacobo	gather	catiahaina	catiahaina	k a t i + a	None	Pano	1909	2383 77	join _:verbal		k a t i + a
3133	Amahuaca	get	háchiquín	háchiquín	ʔ á/a tʃ i	None	Pano	2562	3262	?		ʔ á/a tʃ i
3597	Capanahua	get	cananquin	cananquin	k a n a n	None	Pano	3530	4864	?		k a n a n
4494	Moseten	get	da'keʔ	da'keʔ	d a k e.ʔ	None	Mosetén	3205	4070	find		d a k e.ʔ
4495	Movima	get	ɓaʔ-kʷi	ɓaʔ-kʷi	ɓ a ʔ + kʷ i	None	Movima	3533	4869 3259	?		ɓ a ʔ + kʷ i
7432	Chipaya	get	katu-q-t’i-z	katu-q-t’i-z	k a t u + q	None	Uru-Chipaya	3532	4866 3260	?		k a t u + q
7868	Tacana	get	jemi-tsu	jemi-tsu	h e m i + ts u	None	Tacana	3529	4863 3257	find		h e m i + ts u
7903	Chacobo	get	bihaina	bihaina	β i	None	Pano	3531	4865	?		β i
7991	Araona	get	jemiqui	jemiqui	h e m i + k i	None	Tacana	0	4863 350	_:verbal		h e m i + k i
8879	Cashibo	get	βi-	βi-	β i	None	Pano	3531	4865	?		β i
8894	Catuquina	get	βi-	βi-	β i	None	Pano	3531	4865	?		β i
9186	Tsimane	get	jújjeyaqui	jújjeyaqui	h ɨ̃ h	None	Mosetén	3535	4870	?		h ɨ̃ h
3091	Amahuaca	get lost	vúnohí	vúnohí	β ɨ n o	None	Pano	2745	352	marry/forget		β ɨ n o
4140	Capanahua	get lost	yohcati	yohcati	j o ʔ k a + t i	None	Pano	3538	4880 1167	pick_up _:verbal		j o ʔ k a + t i
7031	Kakataibo	get lost	nëtë́ti	nëtë́ti	n ɨ t ɨ + t i	None	Pano	0	4882 1167	_:verbal		n ɨ t ɨ + t i
7079	Matses	get lost	bëdnud	bëdnud	b ɨ d.n u + d	None	Pano	0	352 2697	_:verbal		b ɨ d.n u + d
7166	Sharanahua	get lost	funoi	funoi	β ɨ n u + i	None	Pano	2745	352 591	marry/forget _:verbal		β ɨ n u + - i
7247	Chipaya	get lost	pay-z	pay-z	p a j	None	Uru-Chipaya	3539	4881	?		p a j
7771	Isconahua	get lost	benó	benó	β ɨ n o	None	Pano	2745	352	marry/forget		β ɨ n o
7883	Tacana	get lost	taitana	taitana	t a i t a n a	None	Tacana	3540	4884	?		t a i t a n a
7898	Chacobo	get lost	bënohaina	bënohaina	β ɨ n o	None	Pano	2745	352	marry/forget		β ɨ n o
7982	Araona	get lost	jahuoyati	jahuoyati	h a w o j a t i	None	Tacana	3536	4879	?		h a w o j a t i
9207	Tsimane	get lost	moñi	moñi	m o ɲ i	None	Mosetén	3541	4885	?		m o ɲ i
3503	Amahuaca	get tired	hóxacatátznáhi	hóxacatátznáhi	ʔ ó/o ʂ a k a + t á/a ts n á/a ʔ + i	None	Pano	3542	4890 4891 591	? _:verbal		ʔ ó/o ʂ a k a + t á/a ts - n á/a ʔ + - i
3860	Capanahua	get tired	paxquini, jatsani	paxquini	p a ʂ k i n i	None	Pano	3544	4892	?		p a ʂ k i n i
3861	Capanahua	get tired	paxquini, jatsani	jatsani	h a ts a n i	None	Pano	3543	4891	?		h a ts a n i -
7045	Kakataibo	get tired	tatununti	tatununti	t a t ɯ n ɯ n + t i	None	Pano	0	3229 1167	_:verbal		t a t ɯ n ɯ n + t i
7120	Matses	get tired	padish	padish	p a d i ʃ	None	Pano	3548	4896	?		p a d i ʃ
7149	Sharanahua	get tired	atsanai	atsanai	a ts a n a + i	None	Pano	0	4891 591	_:verbal		- a ts a n a - + - i
7242	Chipaya	get tired	ot-z	ot-z	o t	None	Uru-Chipaya	3547	4895	?		o t
7864	Tacana	get tired	ja-dui-ti	ja-dui-ti	h a + d u i + t i	None	Tacana	2450	1205 3137 1204	_:prefix ? _:verbal		h a - + d u i + t i
7923	Chacobo	get tired	jobihaina	jobihaina	h o β i	None	Pano	1053	1344	breathe		h o β - i -
8010	Araona	get tired	taeni	taeni	t a e n i	None	Tacana	2451	3138	?		t a e n i
8281	Cavinena	get tired	kastere	kastere	k a s t e r e	None	Tacana	3545	4893	?		k a s t e r e
9227	Tsimane	get tired	no’bi	no’bi	n o.ʔ b i	None	Mosetén	3546	4894	?		n o.ʔ b i
3226	Amahuaca	ghost	yóshin	yóshin	j ó/o ʃ i.n	None	Pano	642	1209	ghost		j ó/o ʃ i.n -
4155	Capanahua	ghost	yoshin, caya	yoshin	j o ʃ i.n	None	Pano	642	1209	ghost		j o ʃ i.n -
4156	Capanahua	ghost	yoshin, caya	caya	k a j a	None	Pano	3553	4907	soul		k a j a
4496	Movima	ghost	en̉-en-ra	en̉-en-ra	e p ʔⁿ + e n + r a	None	Movima	3558	4911 4912 4913	?		e p ʔⁿ + e n + r a
5260	Matses	ghost	madu	madu	m a d u	None	Pano	3557	4910	?		m a d u
5573	Matses	ghost	chusin	chusin	tʃ u s i n	None	Pano	642	1209	?		tʃ u s i n
5740	Sharanahua	ghost	nustuiti	nustuiti	n ɨ s t ɨ i t i	None	Pano	3559	4914	?		n ɨ s t ɨ i t i
5741	Sharanahua	ghost	yoshi	yoshi	j u ʃ i	None	Pano	642	1209	ghost		j u ʃ i -
6104	Sharanahua	ghost	niafaca	niafaca	n i a β a k a	None	Pano	3561	4917	?		n i a β a k a
7218	Chipaya	ghost	hawari, qatawi	hawari	h a w a r i	None	Uru-Chipaya	3555	4909	?		h a w a r i
7219	Chipaya	ghost	hawari, qatawi	qatawi	q a t a w i	None	Uru-Chipaya	3560	4916	?		q a t a w i
7833	Isconahua	ghost	yoshin	yoshin	j o ʃ i.n	None	Pano	642	1209	ghost		j o ʃ i.n -
7900	Chacobo	ghost	bërocamaqui	bërocamaqui	β ɨ r o + k a m a k i	None	Pano	3554	4908 225	soul ?		β ɨ r o + k a m a k i
8013	Araona	ghost	tseiñe	tseiñe	ts e i ɲ e	None	Tacana	3552	4906	?		ts e i ɲ e
8311	Cavinena	ghost	kweya	kweya	kʷ e j a	None	Tacana	3553	4907	?		kʷ e j a
8895	Catuquina	ghost	yočĩ	yočĩ	j o ʃ ĩ	None	Pano	642	1209	ghost		j o ʃ ĩ -
8926	Tsimane	ghost	á’edye’, onojnodye’	á’edye’	ã.ʔ e + dʲ e.ʔ	None	Mosetén	0	4915 1957	_:nmlz		- - ã.ʔ - - e + dʲ e.ʔ -
8927	Tsimane	ghost	á’edye’, onojnodye’	onojnodye’	o n o h n o + dʲ e.ʔ	None	Mosetén	0	4915 1957	_:nmlz		o n o h n o + dʲ e.ʔ -
55	EseEjja	girl	e-šoʔi-pona	e-šoʔi-pona	ʃ o ʔ i + p o n a	None	Tacana	5245	96 127	young woman		- ʃ o ʔ i + p o n a
600	HuarayoEseEjja	girl	dexa pahi	dexa pahi	d e x a + p a h i	None	Tacana	2338	296 4929	person ?		d e x a + p a h i
1438	Catuquina	girl	aĩ βakɨ	aĩ βakɨ	a ĩ + β a k ɨ	None	Pano	3916	5940 360	marry child		- a - ĩ - + β a k ɨ
1918	ShipiboConibo	girl	aĩβo-βakɨ	aĩβo-βakɨ	a ĩ β o + β a k ɨ	None	Pano	1098	139 360	woman child		a ĩ - β o + β a k ɨ
1919	ShipiboConibo	girl	čiβa	čiβa	tʃ i β a	None	Pano	2555	325	child		tʃ i β a
1920	ShipiboConibo	girl	čimĩ	čimĩ	tʃ i m ĩ	None	Pano	2561	326	?		tʃ i m ĩ
2553	Yaminahua	girl	ṣ̌otoko-βakɨ	ṣ̌otoko-βakɨ	ʂ o t o k o + β a k ɨ	None	Pano	3568	4933 360	child		ʂ o t o k o + β a k ɨ
3535	Capanahua	girl	baque	baque	β a k ɨ	None	Pano	2833	360	child		β a k ɨ
4497	Moseten	girl	mi'ki-s	mi'ki-s	m i k i + s	None	Mosetén	3939	603 2559	small _:nmlz		m i k i + s
4498	Movima	girl	ɗiči-ye	ɗiči-ye	ɗ i tʃ i + j e	None	Movima	2400	306 307	?		ɗ i tʃ i + j e
5261	Matses	girl	ain bacuë	ain bacuë	a.i n + b a kʷ ɨ	None	Pano	3916	5940 360	marry child		- a.i - - n + b a kʷ ɨ
5262	Matses	girl	chiden bacuë	chiden bacuë	tʃ i d e n + b a kʷ ɨ	None	Pano	3567	4931 360	child		tʃ i d e n + b a kʷ ɨ
5742	Sharanahua	girl	shomaya	shomaya	ʃ u m a + j a	None	Pano	4398	7219 5940	milk marry		ʃ u m a + j a - - -
6304	Kakataibo	girl	xuntaku	xuntaku	ʂ ɯ n t a k ɯ	None	Pano	1087	138	?		ʂ ɯ n t a k ɯ
6305	Kakataibo	girl	chipax	chipax	tʃ i p a ʂ	None	Pano	2545	324	?		tʃ i p a ʂ
6765	Isconahua	girl	bake ainbo	bake ainbo	β a k ɨ + a i n β o	None	Pano	2835	360 139	child woman		β a k ɨ + a i n β o
7687	Chipaya	girl	uz	uz	u z	None	Uru-Chipaya	3566	4930	?		u z
8158	Cavinena	girl	ebakujunapiji	ebakujunapiji	b a k u + h u n a + p i h i	None	Tacana	3564	4928 633 634	?		b a k u + h u n a + p i h i
8947	Tsimane	girl	áva’	áva’	ã ʋ a.ʔ	None	Mosetén	1565	1956	child		- ã ʋ a.ʔ
9610	Chacobo	girl	jahini	jahini	h a ʔ i n i	None	Pano	1567	1959	girl		h a ʔ i n i
9916	Araona	girl	bácua	bácua	b á/a kʷ a	None	Tacana	2833	360	child		b á/a kʷ a
363	EseEjja	give	kia-	kia-	k i a	None	Tacana	2992	3797	give		k i a
364	EseEjja	give	čemo	čemo	tʃ e m o	None	Tacana	1794	2234	?		tʃ e m o
828	HuarayoEseEjja	give	kia-kwe	kia-kwe	k i a	None	Tacana	2992	3797	give		k i a
1259	Cashibo	give	ʔi'nan-ti	ʔi'nan-ti	ʔ i n a n + t i	None	Pano	3573	4958 1167	give _:verbal		ʔ i n a n + t i
1703	Catuquina	give	ĩnã-	ĩnã-	ĩ n ã	None	Pano	3573	4958	give		- ĩ n ã -
2269	ShipiboConibo	give	inã	inã	i n ã	None	Pano	3573	4958	give		- i n ã -
2270	ShipiboConibo	give	mɨ̃niti	mɨ̃niti	m ɨ̃ n i + t i	None	Pano	0	2229 1167	_:verbal		m ɨ̃ n i + t i
2851	Yaminahua	give	inã-kĩ	inã-kĩ	i n ã + k ĩ	None	Pano	3573	4958 1186	give _:verbal		- i n ã - + - k ĩ
3371	Amahuaca	give	hínanquín	hínanquín	ʔ í/i n a n	None	Pano	3573	4958	give		ʔ í/i n a n
3656	Capanahua	give	hinanquin, bihmaquin	hinanquin	ʔ i n a n	None	Pano	3573	4958	give		ʔ i n a n
3657	Capanahua	give	hinanquin, bihmaquin	bihmaquin	β i ʔ m a	None	Pano	1796	2236	?		β i ʔ m a
4499	Moseten	give	sõʔme'ye	sõʔme'ye	s õ.ʔ m e j e	None	Mosetén	3577	4963	?		s õ.ʔ m e j e
4500	Movima	give	kaya-ɬe	kaya-ɬe	k a j a + ɬ e	None	Movima	1795	2235 4964	?		k a j a + ɬ e
5263	Matses	give	mene	mene	m e n e	None	Pano	1791	2229	give/sell		m e n e
5743	Sharanahua	give	inain	inain	i n a.i n	None	Pano	3573	4958	give		- i n a.i n
6306	Kakataibo	give	'inanti	'inanti	ʔ i n a n + t i	None	Pano	3573	4958 1167	give _:verbal		ʔ i n a n + t i
6766	Isconahua	give	mini	mini	m i n i	None	Pano	1791	2229	give/sell		m i n i
7620	Chipaya	give	thaa-z	thaa-z	tʰ aː	None	Uru-Chipaya	1793	2233	?		tʰ aː
8430	Cavinena	give	tya	tya	tʲ a	None	Tacana	3574	4959	?		tʲ a
8828	Tacana	give	tia	tia	t ia	None	Tacana	3574	4959	?		t ia
9328	Tsimane	give	so’maqui	so’maqui	s o.ʔ m	None	Mosetén	3577	4963	?		s o.ʔ m - - -
9449	Chacobo	give	acaina	acaina	a	None	Pano	0	77	_:verbal		a
10193	Araona	give	ti, siji	ti	t i	None	Tacana	622	1204	give		t i
10194	Araona	give	ti, siji	siji	s i h i	None	Tacana	1797	2237	?		s i h i
10314	Kaxarari	give	yali	yali	j a l i	None	Pano	3576	4962	?		j a l i
3228	Amahuaca	give birth	vácu-víquin	vácu-víquin	β á/a k ɨ + β í/i + k i n	None	Pano	2846	360 4990 356	child ? _:verbal		β á/a k ɨ + β í/i - + k i n
3538	Capanahua	give birth	baque bihquin	baque bihquin	β a k ɨ + β i ʔ	None	Pano	2846	360 4990	child ?		β a k ɨ + β i ʔ
7026	Kakataibo	give birth	náchikiti	náchikiti	n a tʃ i + k i t i	None	Pano	0	4993 576	_:verbal		n a tʃ - - - i + k i t i
7138	Matses	give birth	tish	tish	t i ʃ	None	Pano	3583	4994	?		t i ʃ
7201	Sharanahua	give birth	tupicoi	tupicoi	t ɨ p i k u i	None	Pano	3582	4993	?		t ɨ p i k u i
7236	Chipaya	give birth	mat-z, tor-z	mat-z	m a t	None	Uru-Chipaya	3581	4992	?		m a t
7237	Chipaya	give birth	mat-z, tor-z	tor-z	t o r	None	Uru-Chipaya	3584	4996	?		t o r
7804	Isconahua	give birth	bakekain	bakekain	β a k ɨ + k a i n	None	Pano	2847	360 5004	child go		β a k ɨ + k a i n
7866	Tacana	give birth	jabacuati	jabacuati	h a + b a kʷ a + t i	None	Tacana	2833	1205 360 1204	_:prefix ? _:verbal		h a - + b a kʷ a + t i
7895	Chacobo	give birth	baquë comahaina	baquë comahaina	β a k ɨ + k o m a	None	Pano	2838	360 3234	child ?		β a k ɨ + k o m a
7983	Araona	give birth	jaidyaohue	jaidyaohue	h a i dʲ a o + w e	None	Tacana	3810	568 1268	stative		h a i dʲ a o + w e
8313	Cavinena	give birth	kwina	kwina	kʷ i n a	None	Tacana	3818	569	arrive		kʷ i n a
8959	Tsimane	give birth	basdyi’	basdyi’	b a s dʲ i.ʔ	None	Mosetén	1082	137	?		b a s dʲ i.ʔ
339	EseEjja	go	poki-	poki-	p o + k i	None	Tacana	3592	5005 1425	go _:verbal		- - p o - + k i
340	EseEjja	go	kʷa-	kʷa-	kʷ a	None	Tacana	4440	733	go		kʷ a
813	HuarayoEseEjja	go	poki-kwe	poki-kwe	p o + k i	None	Tacana	3592	5005 1425	go _:verbal		- - p o - + k i
1239	Cashibo	go	kʷan-ti	kʷan-ti	kʷ a.n + t i	None	Pano	3586	5004 1167	go _:verbal		kʷ a.n - - + t i
1240	Cashibo	go	ino-	ino-	i n o	None	Pano	3610	5014	?		i n o
1677	Catuquina	go	ka-	ka-	k a	None	Pano	3586	5004	go		k a - -
1678	Catuquina	go	βo-	βo-	β o	None	Pano	3592	5005	go		- - β o -
2238	ShipiboConibo	go	ka-ti	ka-ti	k a + t i	None	Pano	3586	5004 1167	go _:verbal		k a - - + t i
2828	Yaminahua	go	ka-kĩ	ka-kĩ	k a + k ĩ	None	Pano	3586	5004 1186	go _:verbal		k a - - + - k ĩ
3134	Amahuaca	go	cáhi, vóhi	cáhi	k á/a + ʔ i	None	Pano	3586	5004 174	go _:verbal		k á/a - - + ʔ i
3135	Amahuaca	go	cáhi, vóhi	vóhi	β ó/o + ʔ i	None	Pano	3592	5005 174	go _:verbal		- - β ó/o - + ʔ i
3588	Capanahua	go	cahi	cahi	k a + ʔ i	None	Pano	3586	5004 174	go _:verbal		k a - - + ʔ i
4501	Moseten	go	ho'baɲ	ho'baɲ	h o b a ɲ	None	Mosetén	3592	5005	go		h o b a ɲ
4502	Movima	go	hoi-wa	hoi-wa	h o i + w a	None	Movima	3602	5005 3388	?		h o - i - + w a
5264	Matses	go	nid	nid	n i d	None	Pano	2595	3317	go		n i d
5744	Sharanahua	go	cai	cai	k a.i	None	Pano	3586	5004	?		k a.i - -
5745	Sharanahua	go	foi	foi	β u + i	None	Pano	3592	5005 591	go _:verbal		- - β u - + - i
6307	Kakataibo	go	kuanti	kuanti	kʷ a.n + t i	None	Pano	3586	5004 1167	go _:verbal		kʷ a.n - - + t i
6767	Isconahua	go	bo	bo	β o	None	Pano	3592	5005	go		- - β o -
6768	Isconahua	go	ka	ka	k a	None	Pano	3586	5004	go		k a - -
7506	Chipaya	go	oqh-z	oqh-z	o qʰ	None	Uru-Chipaya	3607	5008	?		o qʰ
8268	Cavinena	go	kadujuti	kadujuti	k a + d u h u + t i	None	Tacana	3589	5004 2081 2441	go ? _:verbal		k a - - + d u h u + t i
8780	Tacana	go	pu-ti	pu-ti	p u + t i	None	Tacana	3592	5005 1204	go _:verbal		- - p u - + t i
9171	Tsimane	go	jíjcaij, tyei’	jíjcaij	h ī h + k a.i h	None	Mosetén	3609	5012 426	?		h ī h + k a.i h
9172	Tsimane	go	jíjcaij, tyei’	tyei’	tʲ e i.ʔ	None	Mosetén	3606	5006	?		tʲ e i.ʔ
9519	Chacobo	go	cahaina	cahaina	k a	None	Pano	3586	5004	go		k a - -
10158	Araona	go	po	po	p o	None	Tacana	3592	5005	go		- - p o -
343	EseEjja	go down (descend)	heaokea-	heaokea-	h e a + o k e a	None	Tacana	3616	5042 2096	move go_down		h e a + o k e a
815	HuarayoEseEjja	go down (descend)	haa-ote-kwe	haa-ote-kwe	h a a + o t e	None	Tacana	1437	1795 2092	cut_down ?		- - h a a + o t e
1242	Cashibo	go down (descend)	ʔi'βu-ti	ʔi'βu-ti	ʔ i + β u + t i	None	Pano	1681	2098 5005 1167	directed_movement go _:verbal		ʔ i + - - β u - + t i
1681	Catuquina	go down (descend)	ṣ̌oyo i-	ṣ̌oyo i-	tʃ o j o + i	None	Pano	0	5040 591	_:verbal		tʃ o j o + - i
2239	ShipiboConibo	go down (descend)	apakɨti	apakɨti	a p a k ɨ + t i	None	Pano	0	5043 1167	_:verbal		a p a k ɨ + t i
2240	ShipiboConibo	go down (descend)	pɨc̷ati	pɨc̷ati	p ɨ ts a + t i	None	Pano	0	2101 1167	_:verbal		p ɨ ts a + t i
2830	Yaminahua	go down (descend)	βoto-kĩ	βoto-kĩ	β o + t o + k ĩ	None	Pano	3596	5005 2268 1186	go downward_move _:verbal		- - β o - + t o + - k ĩ
3507	Amahuaca	go down (descend)	hípaahí	hípaahí	ʔ í/i + p a	None	Pano	1680	2098 2143	directed_movement ?		ʔ í/i + p a
3583	Capanahua	go down (descend)	bototi	bototi	β o + t o + t i	None	Pano	3596	5005 2268 1167	go downward_move _:verbal		- - β o - + t o + t i
4506	Moseten	go down (descend)	ča'baɲ	ča'baɲ	tʃ a b a ɲ	None	Mosetén	3619	5044	?		tʃ a b a ɲ
4507	Moseten	go down (descend)	'kasti	'kasti	k a s + t i	None	Mosetén	0	2099 1060	_:verbal		k a s + t i -
4508	Movima	go down (descend)	tam̉-ɓa-ɬe	tam̉-ɓa-ɬe	t a t ʔⁿ + ɓ a + ɬ e	None	Movima	1559	1949 135 5046	?		t a t ʔⁿ + ɓ a + ɬ e
5265	Matses	go down (descend)	bud	bud	b u d	None	Pano	3879	584	durative		b u d
5677	Sharanahua	go down (descend)	iquipacui	iquipacui	i k i + p a k ɨ + i	None	Pano	1685	2103 5043 591	go_down _:verbal		i k i + - p a k ɨ + - i
5746	Sharanahua	go down (descend)	fotoi	fotoi	β u + t u + i	None	Pano	3603	5005 591 591	go ? _:verbal		- - β u - + t u + t u
6308	Kakataibo	go down (descend)	kuabúti	kuabúti	kʷ a β̞ ɯ + t i	None	Pano	0	2097 1167	_:verbal		kʷ a β̞ ɯ + t i
6309	Kakataibo	go down (descend)	'ibúti	'ibúti	ʔ i + β̞ ɯ + t i	None	Pano	1681	2098 5005 1167	directed_movement go _:verbal		ʔ i + - - β̞ ɯ - + t i
6769	Isconahua	go down (descend)	sanapakei	sanapakei	s a n a + p a k ɨ + i	None	Pano	1684	2102 5043 591	go_down _:verbal		s a n a + - p a k ɨ + - i
6770	Isconahua	go down (descend)	botopakei	botopakei	β o + t o + p a k ɨ + i	None	Pano	3597	5005 2268 5043 591	go downward_move go_down _:verbal		- - β o - + t o + - p a k ɨ + - i
7366	Chipaya	go down (descend)	chhiju-z	chhiju-z	tʃʰ i x u	None	Uru-Chipaya	3613	5039	?		tʃʰ i x u
8132	Cavinena	go down (descend)	bute	bute	b u + t e	None	Tacana	1333	1664 2425	carry/walk want		b u + t e
9516	Chacobo	go down (descend)	botëhaina	botëhaina	β o + t ɨ	None	Pano	3601	5005 2425	go want		- - β o - + t ɨ
344	EseEjja	go out	kʷaya-	kʷaya-	kʷ a j a	None	Tacana	3818	569	?		kʷ a j a
816	HuarayoEseEjja	go out	kwaya-kwe	kwaya-kwe	kʷ a j a	None	Tacana	3818	569	?		kʷ a j a
1243	Cashibo	go out	či'ki-ti	či'ki-ti	tʃ i + k i + t i	None	Pano	1691	2111 176 1167	leave _:verbal _:verbal		tʃ i + k i + t i
1682	Catuquina	go out	šaβa-kɨ ka-	šaβa-kɨ ka-	ʂ a β a + k ɨ + k a	None	Pano	1686	2105 5075 5004	? go		ʂ a β a + k ɨ + k a - -
2241	ShipiboConibo	go out	piko-ti	piko-ti	p i k o + t i	None	Pano	977	1308 1167	go_out _:verbal		p i k o + t i
2242	ShipiboConibo	go out	hokõ-ti	hokõ-ti	h o + k õ + t i	None	Pano	1820	2261 2100 1167	come ? _:verbal		h o + k õ + t i
2831	Yaminahua	go out	kãi-kĩ	kãi-kĩ	k ãi + k ĩ	None	Pano	0	569 1186	_:verbal		k ãi - - + - k ĩ
3217	Amahuaca	go out	cáinhí, jóconhí	cáinhí	k á/ai.n	None	Pano	3586	5004	go		k á/ai.n - -
3218	Amahuaca	go out	cáinhí, jóconhí	jóconhí	h ó/o + k o n	None	Pano	1821	2261 2160	come ?		h ó/o + k o n
3593	Capanahua	go out	caini, tsequeti	caini	k ai.n + i	None	Pano	3586	5004 591	go _:verbal		k ai.n - - + - i
3594	Capanahua	go out	caini, tsequeti	tsequeti	ts ɨ k ɨ + t i	None	Pano	0	2117 1167	_:verbal		ts ɨ k ɨ + t i
4509	Moseten	go out	'syupki	'syupki	s j u p + k i	None	Mosetén	0	5073 643	_:verbal		s j u p + k i
4510	Movima	go out	čiči	čiči	tʃ i tʃ i	None	Movima	3623	5074	?		tʃ i tʃ i
5266	Matses	go out	puduen	puduen	p u + d u e n	None	Pano	3598	5005 2321	go ?		- - p u - + d u e n
6032	Sharanahua	go out	cain	cain	k ai.n	None	Pano	3586	5004	go		k ai.n - -
6310	Kakataibo	go out	pëáskiti	pëáskiti	p ɨ a s + k i + t i	None	Pano	1692	2112 176 1167	undefined _:verbal _:verbal		p ɨ a s + k i + t i
6771	Isconahua	go out	kaini	kaini	k ai.n + i	None	Pano	3586	5004 591	go _:verbal		k ai.n - - + - i
7683	Chipaya	go out	ul-z	ul-z	u l	None	Uru-Chipaya	3624	5077	?		u l
7915	Chacobo	go out	huajahaina	huajahaina	w a h a	None	Pano	2644	3390	?		w a h a
8315	Cavinena	go out	kwinana	kwinana	kʷ i n a + n a	None	Tacana	3818	569 1202	arrive _:verbal		kʷ i n a + n a
8548	Tacana	go out	cuinana	cuinana	kʷ i n a + n a	None	Tacana	3818	569 1202	arrive _:verbal		kʷ i n a + n a
9324	Tsimane	go out	shupqui	shupqui	ʃ ɨ p + k i	None	Mosetén	0	5073 643	_:verbal		ʃ - ɨ p + k i
10050	Araona	go out	huetiana	huetiana	w e t i a n a	None	Tacana	1688	2109	?		w e t i a n a
341	EseEjja	go up (ascend)	soa-ki-	soa-ki-	s o a + k i	None	Tacana	3642	5107 1425	go_up _:verbal		s o - a + k i
342	EseEjja	go up (ascend)	ehayakiki	ehayakiki	h a j a + k i + k i	None	Tacana	3652	5117 1047 1425	undefined _:verbal _:verbal		h a j a + k i - - + k i
814	HuarayoEseEjja	go up (ascend)	sowa-ti-kwe	sowa-ti-kwe	s o w a + t i	None	Tacana	3642	5107 1204	move_up _:verbal		s o w a + t i
1241	Cashibo	go up (ascend)	ro'on-ti	ro'on-ti	r o.o n + t i	None	Pano	0	5110 1167	_:verbal		r o.o n + t i
1679	Catuquina	go up (ascend)	pai-ʔina	pai-ʔina	p ai + ʔ i + n a	None	Pano	3641	5106 174 1202	undefined _:verbal _:verbal		p ai + ʔ i + n a
1680	Catuquina	go up (ascend)	nɨʔɨ-ʔina-	nɨʔɨ-ʔina-	n ɨ ʔ ɨ + ʔ i + n a	None	Pano	3648	5113 174 1202	undefined _:verbal _:verbal		n ɨ ʔ ɨ + ʔ i + n a
2829	Yaminahua	go up (ascend)	mãpɨ-kĩ	mãpɨ-kĩ	m ã p ɨ + k ĩ	None	Pano	0	5103 1186	_:verbal		m ã p ɨ + - k ĩ
3138	Amahuaca	go up (ascend)	hínaahí	hínaahí	ʔ í/i + n a	None	Pano	1678	2098 1202	directed_movement _:verbal		ʔ í/i + n a
3757	Capanahua	go up (ascend)	mapeti, nihinati	mapeti	m a p ɨ + t i	None	Pano	0	5103 1167	_:verbal		m a p ɨ + t i
3758	Capanahua	go up (ascend)	mapeti, nihinati	nihinati	n i + ʔ i + n a + t i	None	Pano	738	12364 174 1202 1167	walk _:verbal _:verbal _:verbal		n i + ʔ i + n a + t i
4511	Moseten	go up (ascend)	'ɲic̷iʔ	'ɲic̷iʔ	ɲ i ts i.ʔ	None	Mosetén	3648	5113	?		ɲ i ts i.ʔ
4512	Movima	go up (ascend)	wele-ɬe	wele-ɬe	w e l e + ɬ e	None	Movima	3649	5114 5046	ESP_vuele? ?		w e l e + ɬ e
5267	Matses	go up (ascend)	dectato	dectato	d e k t a + t o	None	Pano	3647	5112 2268	go_up downward_move		d e k t a + t o
6033	Sharanahua	go up (ascend)	inai	inai	i n a + i	None	Pano	1634	205 591	go_up _:verbal		- i n a + - i
6034	Sharanahua	go up (ascend)	mapui	mapui	m a p ɨ.i	None	Pano	3640	5103	?		m a p ɨ.i
6311	Kakataibo	go up (ascend)	rónruti	rónruti	ɾ ɤ n + ɾ ɯ + t i	None	Pano	3646	5110 2087 1167	verbal_stem _:verbal		ɾ ɤ n + ɾ ɯ + t i
6312	Kakataibo	go up (ascend)	'iru	'iru	ʔ i + ɾ ɯ	None	Pano	1679	2098 2087	directed_movement verbal_stem		ʔ i + ɾ ɯ
6772	Isconahua	go up (ascend)	inai	inai	i n a + i	None	Pano	1634	205 591	go_up _:verbal		- i n a + - i
6773	Isconahua	go up (ascend)	bohmakitsan	bohmakitsan	β o h + m a k i + ts a n	None	Pano	3651	5116 2084 2085	?		β o h - + m a k i + ts a n
7714	Chipaya	go up (ascend)	yaw-z	yaw-z	j a w	None	Uru-Chipaya	3644	5108	?		j a w
8423	Cavinena	go up (ascend)	tsura	tsura	ts u r a	None	Tacana	3642	5107	go_up		ts u r a
