ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
194	JaunAvo	658	RAIN (PRECIPITATION)	ui
195	JaunAvo	670	ROOT	ivi tapóna
196	JaunAvo	156	RED	schini
197	JaunAvo	677	AXE	mané mosturóme
198	JaunAvo	1430	STAR	uistin
199	JaunAvo	977	ARROW	püa
200	JaunAvo	946	BLOOD	imi
201	JaunAvo	1343	SUN	baari
202	JaunAvo	1228	EARTH (SOIL)	maai
203	JaunAvo	1150	THUNDER	terénke
204	JaunAvo	1251	BELLY	puschú
205	JaunAvo	960	WIND	uenna
206	JaunAvo	1425	GREEN	iavan
207	JaunAvo	1493	ONE	aares
208	JaunAvo	1498	TWO	eranbué
209	JaunAvo	492	THREE	kimischá
212	JaunAvo	2009	DOG	tschaspa
213	JaunAvo	1936	DEER	tschassú
214	JaunAvo	641	MUSHROOM	uróo
215	JaunAvo	1208	CAT	kăman püska
216	JaunAvo	1250	JAGUAR	kămán
217	JaunAvo	974	TOBACCO	rúmoe
218	Culino	1752	LEAVE	nuncapa
219	Culino	1374	RING	yusá
220	Culino	948	WATER	yacu
221	Culino	948	WATER	kuhua
222	Culino	948	WATER	uaka
223	Culino	906	TREE	huibý
224	Culino	1733	RAINBOW	noaway
225	Culino	1408	HEAR	nighaky
226	Culino	937	BIRD	tschay
227	Culino	1247	EAR	tsabynky
228	Culino	1482	SHOULDER	puümaty
229	Culino	1645	SHORT	tukutscha
230	Culino	980	HEEL	tautschi-tschoko
231	Culino	2648	HAIR (HEAD)	wo
232	Culino	1480	BODY	üá
233	Culino	801	RIB	bispy
234	Culino	981	ELBOW	matüká
235	Culino	1380	TOOTH	dza̹ kiriri sita
236	Culino	1225	DAY (NOT NIGHT)	nutú
237	Culino	1336	EAT	hirity
238	Culino	239	FLOWER	egpeuy
239	Culino	628	LEAF	many
240	Culino	123	FOREHEAD	wumana
241	Culino	1507	FRUIT	wimŷ
242	Culino	1654	LIGHTNING	wüy-wuaky
243	Culino	1346	THROAT	nu-rhunty
244	Culino	1224	LIVER	taghá
245	Culino	683	PERSON	nukuny
246	Culino	1482	SHOULDER	noaghôla
247	Culino	221	FIRE	yuai
248	Culino	478	LIP	ghüba
249	Culino	632	LIZARD	mûspera
250	Culino	624	LAKE	yá
251	Culino	857	STONE	misky
252	Culino	420	FOREST	hüybý
253	Culino	1205	TONGUE	ine caybáb anú
254	Culino	1203	LONG	neanty-hynuy
255	Culino	1313	MOON	oschý
256	Culino	1202	BIG	ani-tuschy
257	Culino	1402	BREAST	tschuma
258	Culino	1216	MOTHER	aini yarur
259	Culino	1216	MOTHER	üy-una
260	Culino	1222	PENIS	yah
261	Culino	1198	MANY	ytschá
262	Culino	1221	NOSE	rüky
263	Culino	1269	NO	aiy
264	Culino	1212	WE	nukü
265	Culino	1233	NIGHT	wakezy
266	Culino	674	MOUTH	iyashae cayuca
267	Culino	674	MOUTH	ecuacha
268	Culino	674	MOUTH	iyashae cayuca
269	Culino	674	MOUTH	ecuacha
270	Culino	1183	PALM OF HAND	muni-inapa
271	Culino	1217	FATHER	üympa
272	Culino	1592	CHEST	sitshú
273	Culino	1301	FOOT	whytá
274	Culino	227	FISH	ghüma
275	Culino	1371	KNEE	rátüka
276	Culino	1593	DEEP	tiamatschá
277	Culino	1366	BOY	würuna
278	Culino	670	ROOT	hüy-tapú
279	Culino	946	BLOOD	ymý
280	Culino	1430	STAR	wizy
281	Culino	1173	EYEBROW	nukewükasu
282	Culino	420	FOREST	muni-schinekai
283	Culino	1339	MORNING	nikykaunózyny
284	Culino	1228	EARTH (SOIL)	mái
285	Culino	797	TESTICLES	owú
286	Culino	1215	THOU	müa
287	Culino	1493	ONE	uüty
288	Culino	1498	TWO	rabii
289	Culino	492	THREE	taküma
292	Culino	1936	DEER	tschaschó
293	Culino	2009	DOG	ghamá
294	Culino	1318	CHICKEN	atau arika
295	Culino	1509	MOSQUITO	wy
296	Culino	1504	FLY (INSECT)	rhunschyu
297	Panos	948	WATER	umparse
298	Panos	906	TREE	ivi
299	Panos	1247	EAR	paviqué
300	Panos	678	BEARD	quoushni-rani
301	Panos	1401	DRINK	sceay
302	Panos	652	PLAIN	marspa
303	Panos	2648	HAIR (HEAD)	wou
304	Panos	1540	EYELASH	tapouch
305	Panos	1732	SKY	naibouch
306	Panos	1329	TOMORROW	vaquishnêlé
307	Panos	1973	DEMON	jaunchi
308	Panos	1380	TOOTH	schaila
309	Panos	1225	DAY (NOT NIGHT)	nêté
310	Panos	1252	HOUSE	tapino
311	Panos	1585	SLEEP	ousray
312	Panos	1336	EAT	moapiki
313	Panos	962	WOMAN	aivo
314	Panos	777	FLUTE	quichi
315	Panos	239	FLOWER	binie
316	Panos	1507	FRUIT	béni
317	Panos	1654	LIGHTNING	temoui maca
318	Panos	778	SMOKE (EXHAUST)	chiaqui
319	Panos	1371	KNEE	tapouchquou
320	Panos	683	PERSON	buene
321	Panos	221	FIRE	chi
322	Panos	1205	TONGUE	hana
323	Panos	1313	MOON	ouché
324	Panos	1202	BIG	jausi
325	Panos	1221	NOSE	raiki
326	Panos	1417	KILL	retequi
327	Panos	674	MOUTH	kaishra
328	Panos	744	EGG	vachi
329	Panos	1301	FOOT	tarri
330	Panos	189	HAIR (BODY)	rani
331	Panos	227	FISH	yapa
332	Panos	671	SAND	maouipote
333	Panos	671	SAND	machi
334	Panos	977	ARROW	arshi
335	Panos	730	SNAKE	rouno
336	Panos	1343	SUN	vari
337	Panos	1430	STAR	ouisti
338	Panos	1621	SNEEZE	atichai
339	Panos	1228	EARTH (SOIL)	mawi
340	Panos	879	COUGH	houcou
341	Panos	2252	PATH	ba-ï
342	Panos	2009	DOG	inawa
343	Panos	1793	BAT	cachi
344	Panos	906	TREE	nané
345	Panos	925	CASSAVA	atsa
346	Panos	974	TOBACCO	chica
347	MayorunaJandiatuba	1261	SING	mondé
348	MayorunaJandiatuba	1732	SKY	avô
349	MayorunaJandiatuba	1256	HEAD	mazço
350	MayorunaJandiatuba	1432	CUT	quesqué
351	MayorunaJandiatuba	1261	SING	munudé
352	MayorunaJandiatuba	1387	ARRIVE	sa-doén
353	MayorunaJandiatuba	1223	HEART	nin-té
354	MayorunaJandiatuba	1970	CANOE	cuatchán
355	MayorunaJandiatuba	680	BREAK (DESTROY OR GET DESTROYED)	mátzeé
356	MayorunaJandiatuba	1430	STAR	uitipá
357	MayorunaJandiatuba	221	FIRE	té
358	MayorunaJandiatuba	1587	SMELL (STINK)	pasavadé
359	MayorunaJandiatuba	123	FOREHEAD	pasé
360	MayorunaJandiatuba	1202	BIG	da-pá
361	MayorunaJandiatuba	715	SHOUT	aingué
362	MayorunaJandiatuba	1371	KNEE	dambedô
363	MayorunaJandiatuba	1313	MOON	vutché
364	MayorunaJandiatuba	10	FIREWOOD	carô
365	MayorunaJandiatuba	700	CARRY	tchacá-te
366	MayorunaJandiatuba	1403	BITE	paé
367	MayorunaJandiatuba	1793	BAT	coá tchipan
368	MayorunaJandiatuba	925	CASSAVA	azço
369	MayorunaJandiatuba	925	CASSAVA	aça
370	MayorunaJandiatuba	677	AXE	dôe
371	MayorunaJandiatuba	1417	KILL	tche-é
372	MayorunaJandiatuba	962	WOMAN	auim
373	MayorunaJandiatuba	1339	MORNING	setké
374	MayorunaJandiatuba	677	AXE	ndô-é
375	MayorunaJandiatuba	781	FEAR (FRIGHT)	dacuidé
376	MayorunaJandiatuba	962	WOMAN	aui
377	MayorunaJandiatuba	539	NEST	ná
378	MayorunaJandiatuba	1233	NIGHT	iamé
379	MayorunaJandiatuba	1233	NIGHT	iamedé
380	MayorunaJandiatuba	1231	NEW	ioká
381	MayorunaJandiatuba	590	NAKED	auenguadé
382	MayorunaJandiatuba	1221	NOSE	litchán
383	MayorunaJandiatuba	1268	YES	ai
384	MayorunaJandiatuba	1247	EAR	pauizçán
385	MayorunaJandiatuba	1247	EAR	fautchán
386	MayorunaJandiatuba	1250	JAGUAR	camôn
387	MayorunaJandiatuba	1248	EYE	boédo
388	MayorunaJandiatuba	1482	SHOULDER	potó
389	MayorunaJandiatuba	1394	BONE	tchavá
390	MayorunaJandiatuba	744	EGG	bozcei
391	MayorunaJandiatuba	3653	COOKING POT	mazçó
392	MayorunaJandiatuba	882	PARROT	tomi
393	MayorunaJandiatuba	1828	ASK (REQUEST)	naé
394	MayorunaJandiatuba	1475	COMB	que-uá-uá
395	MayorunaJandiatuba	1297	LEG	quissi
396	MayorunaJandiatuba	1210	HEAVY	eguán
397	MayorunaJandiatuba	1486	PLANT (SOMETHING)	mauané
398	MayorunaJandiatuba	1567	DOOR	sipuqué
399	MayorunaJandiatuba	163	BLACK	ussó
400	MayorunaJandiatuba	1829	JUMP	puduné
401	MayorunaJandiatuba	1301	FOOT	tuáe
402	MayorunaJandiatuba	1201	FEATHER	a-ni
403	MayorunaJandiatuba	1011	BRIDGE	poté
404	MayorunaJandiatuba	1222	PENIS	isoné
405	MayorunaJandiatuba	1222	PENIS	tchúi
406	MayorunaJandiatuba	163	BLACK	uisó
407	MayorunaJandiatuba	1210	HEAVY	ivuôe
