ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
272	Culino	1380	TOOTH	dza̹ kiriri sita
273	Culino	1225	DAY (NOT NIGHT)	nutú
274	Culino	1336	EAT	hirity
276	Culino	239	FLOWER	egpeuy
277	Culino	628	LEAF	many
278	Culino	123	FOREHEAD	wumana
279	Culino	1507	FRUIT	wimŷ
280	Culino	1654	LIGHTNING	wüy-wuaky
281	Culino	1346	THROAT	nu-rhunty
282	Culino	1224	LIVER	taghá
283	Culino	683	PERSON	nukuny
284	Culino	1482	SHOULDER	noaghôla
286	Culino	221	FIRE	yuai
288	Culino	478	LIP	ghüba
289	Culino	632	LIZARD	mûspera
290	Culino	624	LAKE	yá
291	Culino	857	STONE	misky
292	Culino	420	FOREST	hüybý
293	Culino	1205	TONGUE	ine caybáb anú
294	Culino	1203	LONG	neanty-hynuy
296	Culino	1313	MOON	oschý
300	Culino	1202	BIG	ani-tuschy
302	Culino	1402	BREAST	tschuma
303	Culino	1216	MOTHER	aini yarur
304	Culino	1216	MOTHER	üy-una
305	Culino	1222	PENIS	yah
306	Culino	1198	MANY	ytschá
307	Culino	1221	NOSE	rüky
308	Culino	1269	NO	aiy
309	Culino	1212	WE	nukü
310	Culino	1233	NIGHT	wakezy
312	Culino	674	MOUTH	iyashae cayuca
313	Culino	674	MOUTH	ecuacha
314	Culino	674	MOUTH	iyashae cayuca
315	Culino	674	MOUTH	ecuacha
316	Culino	1183	PALM OF HAND	muni-inapa
318	Culino	1217	FATHER	üympa
320	Culino	1592	CHEST	sitshú
321	Culino	1301	FOOT	whytá
322	Culino	227	FISH	ghüma
324	Culino	1371	KNEE	rátüka
325	Culino	1593	DEEP	tiamatschá
326	Culino	1366	BOY	würuna
327	Culino	670	ROOT	hüy-tapú
328	Culino	946	BLOOD	ymý
330	Culino	1430	STAR	wizy
331	Culino	1173	EYEBROW	nukewükasu
332	Culino	420	FOREST	muni-schinekai
333	Culino	1339	MORNING	nikykaunózyny
334	Culino	1228	EARTH (SOIL)	mái
335	Culino	797	TESTICLES	owú
336	Culino	1215	THOU	müa
338	Culino	1493	ONE	uüty
339	Culino	1498	TWO	rabii
340	Culino	492	THREE	taküma
341	Culino	1500	FOUR	taküyuwukuin
342	Culino	493	FIVE	takütakurasi
344	Culino	1936	DEER	tschaschó
345	Culino	2009	DOG	ghamá
349	Culino	1318	CHICKEN	atau arika
351	Culino	1509	MOSQUITO	wy
352	Culino	1504	FLY (INSECT)	rhunschyu
355	Panos	948	WATER	umparse
356	Panos	906	TREE	ivi
357	Panos	1247	EAR	paviqué
358	Panos	678	BEARD	quoushni-rani
359	Panos	1401	DRINK	sceay
360	Panos	652	PLAIN	marspa
361	Panos	2648	HAIR (HEAD)	wou
362	Panos	1540	EYELASH	tapouch
364	Panos	1732	SKY	naibouch
366	Panos	1329	TOMORROW	vaquishnêlé
367	Panos	1973	DEMON	jaunchi
368	Panos	1380	TOOTH	schaila
369	Panos	1225	DAY (NOT NIGHT)	nêté
370	Panos	1252	HOUSE	tapino
371	Panos	1585	SLEEP	ousray
372	Panos	1336	EAT	moapiki
373	Panos	962	WOMAN	aivo
374	Panos	777	FLUTE	quichi
375	Panos	239	FLOWER	binie
377	Panos	1507	FRUIT	béni
378	Panos	1654	LIGHTNING	temoui maca
379	Panos	778	SMOKE (EXHAUST)	chiaqui
380	Panos	1371	KNEE	tapouchquou
382	Panos	683	PERSON	buene
383	Panos	221	FIRE	chi
384	Panos	1205	TONGUE	hana
385	Panos	1313	MOON	ouché
386	Panos	1202	BIG	jausi
388	Panos	1221	NOSE	raiki
389	Panos	1417	KILL	retequi
390	Panos	674	MOUTH	kaishra
391	Panos	744	EGG	vachi
392	Panos	1301	FOOT	tarri
393	Panos	189	HAIR (BODY)	rani
394	Panos	227	FISH	yapa
396	Panos	671	SAND	maouipote
397	Panos	671	SAND	machi
398	Panos	977	ARROW	arshi
399	Panos	730	SNAKE	rouno
400	Panos	1343	SUN	vari
402	Panos	1430	STAR	ouisti
403	Panos	1621	SNEEZE	atichai
404	Panos	1228	EARTH (SOIL)	mawi
405	Panos	879	COUGH	houcou
408	Panos	2252	PATH	ba-ï
409	Panos	2009	DOG	inawa
410	Panos	1793	BAT	cachi
412	Panos	906	TREE	nané
413	Panos	925	CASSAVA	atsa
414	Panos	974	TOBACCO	chica
439	MayorunaJandiatuba	1261	SING	mondé
440	MayorunaJandiatuba	1732	SKY	avô
444	MayorunaJandiatuba	1256	HEAD	mazço
454	MayorunaJandiatuba	1432	CUT	quesqué
457	MayorunaJandiatuba	1261	SING	munudé
458	MayorunaJandiatuba	1387	ARRIVE	sa-doén
461	MayorunaJandiatuba	1223	HEART	nin-té
468	MayorunaJandiatuba	1970	CANOE	cuatchán
475	MayorunaJandiatuba	680	BREAK (DESTROY OR GET DESTROYED)	mátzeé
480	MayorunaJandiatuba	1430	STAR	uitipá
490	MayorunaJandiatuba	221	FIRE	té
492	MayorunaJandiatuba	1587	SMELL (STINK)	pasavadé
502	MayorunaJandiatuba	123	FOREHEAD	pasé
503	MayorunaJandiatuba	1202	BIG	da-pá
504	MayorunaJandiatuba	715	SHOUT	aingué
512	MayorunaJandiatuba	1371	KNEE	dambedô
515	MayorunaJandiatuba	1313	MOON	vutché
516	MayorunaJandiatuba	10	FIREWOOD	carô
523	MayorunaJandiatuba	700	CARRY	tchacá-te
527	MayorunaJandiatuba	1403	BITE	paé
528	MayorunaJandiatuba	1793	BAT	coá tchipan
529	MayorunaJandiatuba	925	CASSAVA	azço
530	MayorunaJandiatuba	925	CASSAVA	aça
