ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
5402	hot	Matses	Pano	chu	chu	tʃ u	2895	5812	tʃ u			None
5403	house	Matses	Pano	ʂubu	ʂubu	ʂ u b u	2902	237	ʂ u b u	dust		None
5404	how	Matses	Pano	midapad	midapad	m i d a + p a d	2921	4159 4099	m i d a p a d	where ?		None
5405	how	Matses	Pano	mitsipad	mitsipad	m i ts i + p a d	2921	5867 4099	m i ts i p a d			None
5406	hunt	Matses	Pano	capu	capu	k a p u	2950	1207	k a p u	move		None
5407	husband	Matses	Pano	aque	aque	a k e	2962	167	- a k e	partner		None
5408	husband	Matses	Pano	bënë	bënë	b ɨ n ɨ	2959	4252	b ɨ n ɨ	marry		None
5410	i	Matses	Pano	umbi	umbi	u m.b i	2979	5974	u m b i			None
5411	jaw	Matses	Pano	quiate	quiate	k i.a + t e	3015	710 161	k i + a t e	head? _:instr		None
5412	jaw	Matses	Pano	cuichedcate	cuichedcate	kʷ i + tʃ e + d k a t e	3015	710 686 810	kʷ i + tʃ e + d k a t e	head? throat ?		None
5413	join	Matses	Pano	tsinac	tsinac	ts i n a k	3027	6068	ts i n a k			None
5414	jump	Matses	Pano	pudun	pudun	p u d u n	3047	2026	p u - d u n - - - -			None
5415	kidney	Matses	Pano	naëʂ	naëʂ	n a ɨ ʂ	3065	6135	n a ɨ ʂ	organ		None
5416	kill	Matses	Pano	cuessunne	cuessunne	kʷ e s s u n n e	3082	6161	kʷ e s s u n n e			None
5417	kill	Matses	Pano	uënësua	uënësua	u ɨ n ɨ s u a	3088	3549	u ɨ n ɨ s u a	extinguish		None
5418	knee	Matses	Pano	dannëʂ	dannëʂ	d a n + n ɨ ʂ	3099	951 2285	d a n + n ɨ ʂ	knee ?		None
5419	know (something)	Matses	Pano	tantia	tantia	t a n t i a	3121	4036	t a n t i a	know		None
5420	lake	Matses	Pano	chian	chian	tʃ i a n	3127	6267	tʃ i a n -	lake		None
5421	language	Matses	Pano	onquete	onquete	o n + k e + t e	3137	6292 1204 161	o n + k e + t e	speak _:verbal _:instr		None
5422	laugh	Matses	Pano	mamën	mamën	m a m ɨ n	3150	6318	m a m ɨ n			None
5423	lazy	Matses	Pano	maid	maid	m e d	3160	6348	m e d			None
5424	leaf	Matses	Pano	bëpucte	bëpucte	b ɨ + p u k + t e	3174	681 1734 161	b ɨ + p u k + t e	_:face-prefix ? _:instr		None
5425	leaf	Matses	Pano	podo	podo	p o + d o	3169	915 1041	p o + d o	arm arm		None
5426	leave	Matses	Pano	puduen	puduen	p u d u e n	3187	2108	p u d u e n			None
5427	left	Matses	Pano	opioc	opioc	o p i o k	3207	6435	o p i o k			None
5428	leg	Matses	Pano	nite	nite	n i + t e	3220	3317 161	n i + t e	 _:instr		None
5429	lick	Matses	Pano	taʂ	taʂ	t a ʂ	3229	6484	t a ʂ -			None
5430	lie (mislead)	Matses	Pano	mua	mua	m u a	3249	6522	m u a			None
5431	lift	Matses	Pano	cado	cado	k a d o	3275	1916	k a - d o -			None
5432	lift	Matses	Pano	indo	indo	i n d o	3284	1915	- i n d o -			None
5433	light (ignite)	Matses	Pano	tabo	tabo	t a b o	3295	6612	t a - b o			None
5434	lightning	Matses	Pano	bed-bedquequid	bed-bedquequid	b e d + b e d + k e + k i d	3344	6700 6700 1204 1178	b e d + b e d + k e + k i d	 ? _:verbal agent_nmlz		None
5435	lip	Matses	Pano	ëcbid	ëcbid	ɨ k b i d	3354	6721	ɨ k - - - b i d -			None
5436	liver	Matses	Pano	isese	isese	i s e s e	3359	1088	i s e s e	organ		None
5437	liver	Matses	Pano	tacua	tacua	t a + kʷ a	3357	1092 1093	t a + kʷ a	intestines liver		None
5438	lizard	Matses	Pano	tampas	tampas	t a m p a s	3371	6775	t a m p a s			None
5439	lizard	Matses	Pano	ʂëquëd	ʂëquëd	ʂ ɨ k ɨ d	3375	6771	ʂ ɨ k ɨ d			None
5440	long	Matses	Pano	ënapen	ënapen	ɨ n a p e n	3389	6803	- - ɨ n a p e n			None
5441	look for	Matses	Pano	nibën	nibën	n i b ɨ n	3418	6857	n i b ɨ n			None
5442	louse	Matses	Pano	matish	matish	m a t i ʃ	3433	6883	m a t i ʃ			None
5443	love	Matses	Pano	bun	bun	b u n	3444	3888	b u n -			None
5444	lung	Matses	Pano	isese padish	isese padish	i s e s e + p a d i ʃ	3459	1088 6946	- - - i s - e s e + p a d i ʃ	organ ?		None
5445	maize	Matses	Pano	piacbo	piacbo	p i a k b o	3467	6968	p i a k b o			None
5446	maize	Matses	Pano	shicʂu	shicʂu	ʃ i k ʂ u	3464	1722	ʃ i k ʂ u			None
5447	man	Matses	Pano	dada	dada	d a d a	3477	540	d a d a -	man		None
5448	many	Matses	Pano	dadempa	dadempa	d a d e m p a	3493	2728	- - d a d - e m p a -			None
5449	many	Matses	Pano	dadpen	dadpen	d a d p e n	3503	2252	- - d a d - - - p e n			None
5450	meat	Matses	Pano	pambid	pambid	p a m b i d	3526	7091	p a m b i d			None
5451	medicine	Matses	Pano	dauë	dauë	d a w ɨ	3536	7117	d a u ɨ			None
5452	meet	Matses	Pano	istuid	istuid	i s t u i d	3551	3591	- i s t u i d -			None
5453	meet	Matses	Pano	tsidad	tsidad	ts i d a d	3560	7143	ts i - d - a d -			None
5454	milk	Matses	Pano	ënë	ënë	ɨ n ɨ	3595	315	ɨ n ɨ -	water		None
5455	milk	Matses	Pano	ʂuma ënë	ʂuma ënë	ʂ u m a + ɨ n ɨ	3591	7219 315	ʂ u m a + ɨ n ɨ -	 water		None
5456	mix	Matses	Pano	ʂuaëʂca	ʂuaëʂca	ʂ u a ɨ ʂ + k a	3610	7243 1206	ʂ u a ɨ ʂ + k a	 _:verbal		None
5457	moon	Matses	Pano	iba	iba	i b a	3622	51	- i b a - - - -			None
5458	moon	Matses	Pano	uʂë	uʂë	u ʂ ɨ	3619	7274	- u ʂ - ɨ	moon		None
5459	mosquito	Matses	Pano	biuʂ	biuʂ	b i u ʂ	3643	7325	b i u ʂ			None
5460	mosquito	Matses	Pano	biuʂ dëuisac	biuʂ dëuisac	b i u ʂ + d ɨ u i s a k	3643	7325 7330	b i u ʂ + d ɨ u i s a k			None
5461	mother	Matses	Pano	ani	ani	a n i	3655	2830	a n i -			None
5462	mother	Matses	Pano	tita	tita	t i t a	3651	7346	t i t a	mother		None
5463	mouth	Matses	Pano	ana	ana	a n a	3682	645	- - a n - - a	mouth		None
5464	mouth	Matses	Pano	ana ʂëcuë	ana ʂëcuë	a n a + ʂ ɨ + kʷ ɨ	3682	645 651 710	a n a + ʂ ɨ kʷ ɨ	mouth tooth head?		None
5465	mud	Matses	Pano	chucmante	chucmante	tʃ u k m a n + t e	3711	7467 161	tʃ u k m a n + t e	undefined _:instr		None
5466	mud	Matses	Pano	mactac	mactac	m a k t a k	3719	7472	m a k t a k			None
5467	mute	Matses	Pano	eme	eme	e m e	3727	7491	- - e m e			None
5468	name	Matses	Pano	cuëmëdaid	cuëmëdaid	kʷ ɨ m ɨ + a i d	3749	7537 63	kʷ ɨ m ɨ d e d	 pat_nmlz		None
5469	navel	Matses	Pano	nicʈʂun	nicʈʂun	n i k ʈʂ u n	3788	1084	n i k ʈʂ u n			None
5470	navel	Matses	Pano	niud	niud	n i u d	3793	1084	n i - u d			None
5471	near	Matses	Pano	ëna	ëna	ɨ n a	3802	2519	- ɨ n a	near		None
5472	near	Matses	Pano	nëbi	nëbi	n ɨ b i	3812	2520	n ɨ b i	near		None
5473	neck	Matses	Pano	tënite	tënite	t ɨ + n i + t e	3819	683 834 161	t ɨ + n i + t e	neck undefined _:instr		None
5474	necklace	Matses	Pano	payute	payute	p a j u + t e	3830	7693 161	p a j u + t e	undefined _:instr		None
5475	necklace	Matses	Pano	tëdiadte	tëdiadte	t ɨ + d i.a d + t e	3837	683 1058 161	t ɨ + d i.a d + t e	neck chest _:instr		None
5476	needle (for sewing)	Matses	Pano	pinchucchicte	pinchucchicte	p i n + tʃ u k + tʃ i k + t e	3844	1629 1630 1631 161	p i n + tʃ u k ? tʃ i k + t e	undefined instrument_nmlz ? _:instr		None
5477	nest	Matses	Pano	ʂubu	ʂubu	ʂ u b u	3855	237	ʂ u b u	dust		None
5478	nest	Matses	Pano	uʂte	uʂte	u ʂ + t e	3860	10197 161	u ʂ + t e	sleep _:instr		None
5479	new	Matses	Pano	chuca	chuca	tʃ u k a	3869	7763	- tʃ u k a			None
5480	night	Matses	Pano	inʈʂëʂ	inʈʂëʂ	i n ʈʂ ɨ ʂ	3883	180	- i n ʈʂ ɨ ʂ -	dark/night		None
5481	nose	Matses	Pano	dëbiate	dëbiate	d ɨ b i.a + t e	3901	652 161	d ɨ b i + a t e	? _:instr		None
5483	now	Matses	Pano	nëbi	nëbi	n ɨ b i	3921	2520	n ɨ b i	near		None
5484	old	Matses	Pano	ʂëni	ʂëni	ʂ ɨ n i	3929	7918	ʂ ɨ n - - i	old		None
5485	old	Matses	Pano	tsusio	tsusio	ts u s i o	3940	399	ts u - s i - o	old		None
5486	old man	Matses	Pano	tsusio	tsusio	ts u s i o	3951	399	- - ts u s i o	old		None
5487	old woman	Matses	Pano	maʈʂo	maʈʂo	m a ʈʂ o	3968	7986	m a ʈʂ o			None
5488	older brother	Matses	Pano	buchi	buchi	b u + tʃ i	3974	313 1964	b u + tʃ i	 brother		None
5489	older sister	Matses	Pano	ʈʂuʈʂu	ʈʂuʈʂu	ʈʂ u + ʈʂ u	3985	400 400	ʈʂ u + ʈʂ u	old old		None
5490	one	Matses	Pano	abentsëc	abentsëc	a b e n + ts ɨ k	4005	8064 461	a b e n + ts ɨ k	one diminutive		None
5491	open	Matses	Pano	bëcado	bëcado	b ɨ + k a + d o	4037	681 2752 2432	b ɨ + k a + d o	_:face-prefix ? ?		None
5492	orphan	Matses	Pano	shiadi	shiadi	ʃ i a d i	4053	405	ʃ i a d i			None
5493	owl	Matses	Pano	bus	bus	b u s	4077	458	b u s - - - -			None
5494	owl	Matses	Pano	pupu	pupu	p u p u	4077	8195	p u - p u - -			None
5495	palm of hand	Matses	Pano	mëdante ana	mëdante ana	m ɨ + d a n + t e + a n a	4104	948 951 161 8248	m ɨ + d a n + t e + a n a	hand_prefix hand _:instr ?		None
5496	parrot	Matses	Pano	canampi	canampi	k a n a + m p i	4112	925 311	k a n a m p i	? small		None
5497	parrot	Matses	Pano	ede	ede	e d e	4117	449	- - e d - e -			None
5498	path	Matses	Pano	podquied	podquied	p o d k i e d	4125	8303	p o d k i e d	path		None
5499	path	Matses	Pano	antied	antied	a n t i e d	4129	8308	a n t i e d			None
5500	peel	Matses	Pano	bishuc	bishuc	b i ʃ u k	4140	8326	b i ʃ u k			None
5501	penis	Matses	Pano	ʂui	ʂui	ʂ ui	4155	3511	ʂ u i			None
5502	person	Matses	Pano	matses	matses	m a ts e s	4168	8392	m a ts e s			None
5503	pile up	Matses	Pano	tsindo	tsindo	ts i n d o	4203	2376	- - ts i n - - d o			None
5504	piss	Matses	Pano	isun	isun	i s u n	4224	8504	- i - s u n			None
5505	plain	Matses	Pano	aspe	aspe	a s p e	4234	26	- a s p - - e			None
5506	play	Matses	Pano	mamën	mamën	m a m ɨ n	4259	8573	m a m - - ɨ n			None
5507	pull	Matses	Pano	ʂëcca	ʂëcca	ʂ ɨ k.k a	4301	8649	ʂ ɨ k k a			None
5508	pull	Matses	Pano	ʂoyon	ʂoyon	ʂ o j o n	4307	8658	ʂ o j o n			None
5509	pumpkin	Matses	Pano	madubon senco	madubon senco	m a + d u b o n + s e n k o	4314	707 8680 8682	m a d u b o n + s e n k o	:head ? ?		None
5510	pursue	Matses	Pano	nadanca	nadanca	n a d a n + k a	4324	3244 1206	n a d a n + k a	follow _:verbal		None
5511	pursue	Matses	Pano	tsiban	tsiban	ts i b a n	4319	1917	ts i b a n - - -	follow		None
5512	pus	Matses	Pano	cu	cu	k u	4330	8725	k u - -			None
5513	put	Matses	Pano	naued	naued	n a + w e d	4366	2341 2342	n a u e d			None
5514	put	Matses	Pano	nan	nan	n a n	4364	8785	n a n - -			None
5515	rain (precipitation)	Matses	Pano	ue	ue	u e	4380	25	- u - - e -	water		None
5516	rainbow	Matses	Pano	uen podquied	uen podquied	u e n + p o d k i e d	4396	8847 8303	u e n + p o d k i e d	 path		None
5517	raw	Matses	Pano	aʈʂuʂ	aʈʂuʂ	a ʈʂ u ʂ	4408	8880	a ʈʂ u ʂ			None
5518	red	Matses	Pano	piu	piu	p i u	4419	1011	p i - - u - -	yellow		None
5519	red	Matses	Pano	shin	shin	ʃ i n	4413	8901	- - - ʃ i n -			None
5520	rest	Matses	Pano	tiboque	tiboque	t i b o + k e	4459	1351 1204	t i b o + k e	breathe _:verbal		None
5521	rib	Matses	Pano	shictodo	shictodo	ʃ i k t o d o	4470	9015	ʃ i k t o d o			None
5522	right	Matses	Pano	abiuc	abiuc	a b i u k	4483	2484	a b i u k - - -			None
5523	ripe	Matses	Pano	mani sin	mani sin	m a n i + s i n	4512	9087 2091	m a n i + - s i - - n -			None
5524	roof	Matses	Pano	caʈʂo	caʈʂo	k a + ʈʂ o	4551	208 606	k a + ʈʂ o	:back-prefix back		None
5525	root	Matses	Pano	tapun	tapun	t a + p u n	4559	981 3166	t a + p u n	:root root		None
5526	rope	Matses	Pano	bucu	bucu	b u k u	4577	1785	b u k u			None
5527	rough	Matses	Pano	chushi	chushi	tʃ u ʃ i	4603	3740	tʃ u ʃ - i			None
5528	run	Matses	Pano	titinque	titinque	t i t i n + k e	4640	9347 1204	t i t i n + k e	 _:verbal		None
5529	salt	Matses	Pano	sa	sa	s a	4650	9370	s a - -			None
5530	sand	Matses	Pano	masi	masi	m a s i	4659	3249	m a s i	dust		None
5531	say	Matses	Pano	que	que	k e	4678	1204	- k e - -	_:verbal		None
5532	see	Matses	Pano	is	is	i s	4711	9483	- i s - -	see		None
5533	seed	Matses	Pano	ëʂë	ëʂë	ɨ ʂ ɨ	4717	9508	- ɨ ʂ ɨ -	seed		None
5534	seize	Matses	Pano	bed	bed	b e d	4730	2221	b e d	seize		None
5535	sell	Matses	Pano	mene	mene	m e n e	4741	2229	m e - n e -	give/sell		None
5536	separate	Matses	Pano	danes	danes	d a n e s	4772	9609	d a n e s			None
5537	sew	Matses	Pano	tusca	tusca	t u s k a	4787	9630	t u s - k a			None
5538	shade	Matses	Pano	mayan	mayan	m a j a n	4802	2887	m a j a n			None
5539	shade	Matses	Pano	sauan	sauan	s a w a n	4809	9655	s a w - a n			None
5540	shine	Matses	Pano	ʈʂënque	ʈʂënque	ʈʂ ɨ n + k e	4865	3044 1204	ʈʂ ɨ n + k e	 _:verbal		None
5541	shiver	Matses	Pano	ʂëcque	ʂëcque	ʂ ɨ k + k e	4896	2394 1204	ʂ ɨ k - + k e	 _:verbal		None
5542	short	Matses	Pano	buʂcu	buʂcu	b u ʂ k u	4934	9890	b u ʂ k u			None
5543	shoulder	Matses	Pano	canti chiadte	canti chiadte	k a n t i + tʃ i a d + t e	4950	9919 2303 161	k a n + t i + tʃ i a d + t e	undefined ? _:instr		None
5544	shout	Matses	Pano	cuëd	cuëd	kʷ ɨ d	4966	4193	kʷ ɨ d			None
5545	shout	Matses	Pano	sidque	sidque	s i d + k e	4972	4194 1204	s i d + k e	 _:verbal		None
5546	shut	Matses	Pano	bëtaʂ	bëtaʂ	b ɨ + t a ʂ	4979	681 1068	b ɨ t a ʂ	_:face-prefix ?		None
5547	shut	Matses	Pano	bëtin	bëtin	b ɨ + t i n	4991	681 2241	b ɨ + t i n	_:face-prefix ?		None
5548	sing	Matses	Pano	cuëdën	cuëdën	kʷ ɨ + d ɨ n	5036	10061 4174	kʷ ɨ d ɨ n			None
5549	sing	Matses	Pano	noman	noman	n o m a n	5045	10072	n o m a n			None
5550	sit	Matses	Pano	piscud	piscud	p i s k u + d	5051	10127 2697	p i s k u + d	sit _:verbal		None
5551	sit	Matses	Pano	tsad	tsad	ts a + d	5047	2037 2697	ts a + d	sit _:verbal		None
5552	skin	Matses	Pano	bitsi	bitsi	b i ts i	5066	454	b i ts ( - ) i	skin		None
5553	sky	Matses	Pano	abu	abu	a b u	5077	2152	( - - ) a b u ( - - )	up		None
5554	sleep	Matses	Pano	uʂ	uʂ	u ʂ	5081	10197	- u ʂ -	sleep		None
5555	small	Matses	Pano	ania	ania	a n i + a	5118	396 1203	a n i a	grow ?		None
5556	small	Matses	Pano	pistsëc	pistsëc	p i s + ts ɨ k	5129	10260 461	p i s + ts ɨ k	 diminutive		None
5557	smell (perceive)	Matses	Pano	ʂëd	ʂëd	ʂ ɨ + d	5133	10300 2697	ʂ ɨ + d	smell _:verbal		None
5558	smell (perceive)	Matses	Pano	nuad	nuad	n u a + d	5140	10306 2697	n u a + d	 _:verbal		None
5559	smell (stink)	Matses	Pano	pisad	pisad	p i s a + d	5141	10320 2697	p i s a d	stink _:verbal		None
5560	smoke (exhaust)	Matses	Pano	puʂudquid	puʂudquid	p u ʂ u d + k i d	5155	231 1178	p u ʂ u d + k i d	smoke agent_nmlz		None
5561	smooth	Matses	Pano	ise	ise	i s e	5175	3342	- i s e			None
5562	snake	Matses	Pano	nisi	nisi	n i s i	5198	9224	n i s i	rope		None
5563	snake	Matses	Pano	ʂanupa	ʂanupa	ʂ a n u p a	5201	10450	ʂ a n u p a			None
5564	sneeze	Matses	Pano	actiʂun	actiʂun	a k t i ʂ u n	5208	1225	- a k t i ʂ u n - - -			None
5565	snore	Matses	Pano	sodque	sodque	s o d + k e	5220	10494 1204	s o d + k e	 _:verbal		None
5566	soft	Matses	Pano	pachi	pachi	p a tʃ i	5235	10513	p a tʃ - - i			None
5567	soft	Matses	Pano	padish	padish	p a d i ʃ	5235	10513	p a d i ʃ -			None
5568	some	Matses	Pano	utsi-utsi	utsi-utsi	u ts i + u ts i	5253	3216 3216	- u - ts i + u ts i			None
5569	soul	Matses	Pano	mayan	mayan	m a j a n	5270	2887	m a j a n			None
5570	speak	Matses	Pano	onque	onque	o n + k e	5296	6292 1204	o n + k e	speak _:verbal		None
5571	spider	Matses	Pano	tsipuispa	tsipuispa	ts i p u i s p a	5316	10666	ts i p u i s p a			None
5572	spin	Matses	Pano	bidiad	bidiad	b i + d i a d	5337	9143 1606	b i + d i a d	spin ?		None
5573	spin	Matses	Pano	toʂcodoca	toʂcodoca	t o ʂ k o d o + k a	5345	10708 1206	t o ʂ k o d o + k a	 _:verbal		None
5574	spit	Matses	Pano	cuishtuque	cuishtuque	kʷ i ʃ t u + k e	5355	10725 1204	kʷ i ʃ t u + k e	 _:verbal		None
5575	spit	Matses	Pano	pishtuque	pishtuque	p i ʃ t u + k e	5355	10725 1204	p i ʃ t u + k e	 _:verbal		None
5576	star	Matses	Pano	uispa	uispa	w i s p a	5437	10907	w i s p a			None
5577	steal	Matses	Pano	ampe	ampe	a m p e	5456	10940	a m p e			None
5578	stomach	Matses	Pano	dëʈʂun	dëʈʂun	d ɨ ʈʂ u n	5476	1119	d ɨ - ʈʂ u n - -			None
5579	straight	Matses	Pano	cue	cue	kʷ e	5502	11032	kʷ e			None
5580	suck	Matses	Pano	chish	chish	tʃ i ʃ	5543	1461	tʃ i - - ʃ			None
5581	summer	Matses	Pano	seta	seta	s e t a	5561	3365	s e t - a	summer		None
5582	summer	Matses	Pano	tanun	tanun	t a n u n	5565	3361	t a n u n			None
5583	sun	Matses	Pano	uʂë	uʂë	u ʂ ɨ	5570	7274	- u ʂ - ɨ	moon		None
5584	swallow	Matses	Pano	chebud	chebud	tʃ e + b u d	5580	686 584	tʃ e + b u d	throat durative		None
5585	sweet	Matses	Pano	bata	bata	b a t a	5585	494	- b a t - - a	bee		None
5586	sweet potato, yam	Matses	Pano	cadi	cadi	k a d i	5595	11225	k a d - - - - i			None
5587	swim	Matses	Pano	capu	capu	k a p u	5611	1207	k a p u	move		None
5588	swim	Matses	Pano	tantan	tantan	t a n + t a n	5616	1972 1972	t a n t a n			None
5589	tail	Matses	Pano	incuente	incuente	i n + kʷ e n + t e	5624	11282 2083 161	i n + kʷ e n + t e	penis/tail ? _:instr		None
5590	tail	Matses	Pano	inʂucu	inʂucu	i n + ʂ u k u	5628	11286 2812	i n + ʂ u k u	penis/tail ?		None
5591	tear (of eye)	Matses	Pano	bëun	bëun	b ɨ + u.n	5631	681 3921	b ɨ + u n	_:face-prefix ?		None
5592	tear (shred)	Matses	Pano	canche	canche	k a n tʃ e	5653	1830	k a n tʃ e	split		None
5593	tear (shred)	Matses	Pano	chedca	chedca	tʃ e d + k a	5662	11355 1206	tʃ e d + k a	 _:verbal		None
5595	they	Matses	Pano	abi	abi	a b i	5699	11431	- a - - b i	3sg_pl		None
5596	thick	Matses	Pano	nua	nua	n u a	5713	492	n u a	big		None
5597	think (reflect)	Matses	Pano	tantia	tantia	t a n t i a	5736	4036	t a n t i a	know		None
5598	thou	Matses	Pano	mi	mi	m i	5752	11571	m i - -	2sg		None
5600	thread	Matses	Pano	sedquid	sedquid	s e d + k i d	5763	1600 1178	s e d + k i d	white agent_nmlz		None
5602	three	Matses	Pano	abentsëc chonoc	abentsëc chonoc	a b e n + ts ɨ k + tʃ o n o k	5773	8064 461 11643	a b e n + ts ɨ k + tʃ o n o k	one diminutive ?		None
5603	throat	Matses	Pano	chepacte	chepacte	tʃ e + p a k + t e	5783	686 839 161	tʃ e + p a k + t e	throat ? _:instr		None
5604	throw	Matses	Pano	nan	nan	n a n	5802	1962	n a - n			None
5605	thunder	Matses	Pano	abu	abu	a b u	5815	2152	( - - ) a b u ( - - )	up		None
5606	tie	Matses	Pano	nëʂ	nëʂ	n ɨ ʂ	5823	200	n ɨ ʂ - - -	tie		None
5607	tobacco	Matses	Pano	nënë	nënë	n ɨ n ɨ	5838	11774	n ɨ n ɨ			None
5608	tomorrow	Matses	Pano	badiadaʂ	badiadaʂ	b a d i a d + a ʂ	5852	51 2134	b a d i a d a ʂ	sun/moon after		None
5609	tomorrow	Matses	Pano	badiaʂʂun	badiaʂʂun	b a d i a !ʂ/d + ʂ u n	5852	51 2140	b a d i a ʂ ʂ u n			None
5610	tongue	Matses	Pano	anusudte	anusudte	a n u + s u d + t e	5861	645 862 161	a n u + s u d + t e	mouth ? _:instr		None
5611	tooth	Matses	Pano	ʂëta	ʂëta	ʂ ɨ t a	5864	651	ʂ ɨ t a	tooth		None
5612	touch	Matses	Pano	beseca	beseca	b e s e + k a	5880	11870 1206	b e s e + k a	 _:verbal		None
5613	touch	Matses	Pano	mëyan mish	mëyan mish	m ɨ j a n + m i ʃ	5890	11876 3671	m ɨ j a n + m i - - - ʃ			None
5614	tree	Matses	Pano	cuëte	cuëte	kʷ ɨ + t e	5934	75 161	kʷ ɨ t e	fire/wood _:instr		None
5615	tree	Matses	Pano	iui	iui	i w i	5937	72	- i w i	tree		None
5616	two	Matses	Pano	daëd	daëd	d a ɨ d	5991	12098	- - d a - ɨ d -			None
5617	unripe	Matses	Pano	ʂu	ʂu	ʂ u	5997	12123	ʂ u - - - - -			None
5618	up	Matses	Pano	abuc	abuc	a b u + k	6020	2152 203	( - - ) a b u ( - - ) + k	up ?		None
5619	upper leg (thigh)	Matses	Pano	cuischipa	cuischipa	kʷ i s + tʃ i + p a	6036	993 990 1008	kʷ i s tʃ i p a	knee heel ?		None
5620	upper leg (thigh)	Matses	Pano	bëusudquid	bëusudquid	b ɨ + u s u d + k i d	6042	681 2350 1178	b ɨ + u s u d + k i d	_:face-prefix ? agent_nmlz		None
5621	vomit	Matses	Pano	siabud	siabud	s i a + b u d	6056	1988 584	s i a + b u d	chili durative		None
5622	vomit	Matses	Pano	ucbud	ucbud	u k + b u d	6060	12250 584	u k + b u d	 durative		None
5623	vulture	Matses	Pano	puicon	puicon	p u i k o n	6067	12280	p u i k o n			None
5624	vulture	Matses	Pano	ʂëtë	ʂëtë	ʂ ɨ t ɨ	6064	12276	ʂ ɨ t ɨ			None
5625	wake up	Matses	Pano	tin	tin	t i n	6093	1222	t i n -	sun		None
5626	wake up	Matses	Pano	isucun	isucun	i s u k u n	6100	1286	- i s u - k u n			None
5627	walk	Matses	Pano	capu	capu	k a p u	6119	1207	k a p u	move		None
5628	wash	Matses	Pano	dapan	dapan	d a p a n	6146	1875	( d a ) p a n ( - )			None
5629	wash	Matses	Pano	pan	pan	p a n	6146	1875	( - - ) p a n ( - )	wash		None
5630	wasp	Matses	Pano	madin	madin	m a d i n	6160	12472	m a d i n			None
5631	wasp	Matses	Pano	seta	seta	s e t a	6165	12476	s e t a			None
5632	water	Matses	Pano	acte	acte	a k + t e	6172	230 161	a k + t e	drink _:instr		None
5634	we	Matses	Pano	nuqui	nuqui	n u + k i	6182	12527 635	n u + k i	1sg_pl pl		None
5635	wet	Matses	Pano	chucu	chucu	tʃ u k u	6210	3793	tʃ u - k u			None
5636	what	Matses	Pano	atoda	atoda	a t o d a	6222	12617	a t o - d a -			None
5638	when	Matses	Pano	mitsino	mitsino	m i ts i n o	6236	4135	- m i ts i n o -			None
5639	where	Matses	Pano	mida	mida	m i d a	6252	4159	m i d - - a	where		None
5640	where	Matses	Pano	mimintsi	mimintsi	m i m i n ts i	6258	12673	m i m i n ts i			None
5641	whistle	Matses	Pano	ʂëidque	ʂëidque	ʂ ɨ i d + k e	6265	12692 1204	ʂ ɨ ( - ) i ( d ) + k e	 _:verbal		None
5642	white	Matses	Pano	sed	sed	s e d	6279	1600	s e d	white		None
5643	white	Matses	Pano	uʂu	uʂu	u ʂ u	6272	12722	- u ʂ u - -	white		None
5644	who	Matses	Pano	tsundan	tsundan	ts u + n.d a n	6288	12747 4171	ts u n + d a n			None
5645	who	Matses	Pano	tsutsi	tsutsi	ts u + ts i	6287	12747 4170	ts u ts i			None
5646	wide	Matses	Pano	nua	nua	n u a	6302	492	n u a	big		None
5647	wife	Matses	Pano	aque	aque	a k e	6317	167	a k e	partner		None
5648	wife	Matses	Pano	chido	chido	tʃ i d o	6322	348	tʃ i d o - -			None
5649	wind	Matses	Pano	cunquequid	cunquequid	k u n + k e + k i d	6329	1205 1204 1178	k u n + k e + k i d	wind _:verbal agent_nmlz		None
5650	wing	Matses	Pano	podo	podo	p o + d o	6334	915 1041	p o + d o	arm arm		None
5651	woman	Matses	Pano	chido	chido	tʃ i d o	6350	322	tʃ i d o			None
5652	worm	Matses	Pano	nuen	nuen	n u e n	6376	12943	n u - e n -			None
5653	worm	Matses	Pano	macu	macu	m a k u	6385	503	m a k u			None
5654	write	Matses	Pano	dadaua	dadaua	d a d a w a	6428	13025	d a d a w a			None
5655	year	Matses	Pano	seta	seta	s e t a	6437	3365	s e - t - - a	summer		None
5656	yellow	Matses	Pano	piu	piu	p i u	6449	1011	p i - - u - -	yellow		None
5657	yellow	Matses	Pano	uʂu	uʂu	u ʂ u	6457	12722	- u - ʂ - - u	white		None
5658	yesterday	Matses	Pano	ënden	ënden	ɨ n d e n	6487	13143	ɨ n d e n			None
5660	you	Matses	Pano	miqui	miqui	m i + k i	6494	11571 635	m i + k i	2sg pl		None
5661	young	Matses	Pano	buntac	buntac	b u n t a k	6511	13202	b u n t a k			None
5662	younger brother	Matses	Pano	tsidionquid	tsidionquid	ts i d i o n + k i d	6556	13291 1178	ts i d i o n + k i d	 agent_nmlz		None
5663	younger brother	Matses	Pano	utsimpi	utsimpi	u ts i + m p i	6563	13297 311	u ts i + m p i	? small		None
5664	younger sister	Matses	Pano	chibi	chibi	tʃ i b i	6564	8029	tʃ i b i	sister		None
5665	fan (action)	Matses	Pano	ʂucca	ʂucca	ʂ u k + k a	1853	3745 1206	ʂ u k + k a	 _:verbal		None
5666	outside	Matses	Pano	umanuc	umanuc	u m a n u k	4072	8167	- u m a - n u k -			None
