ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
84	thou	EseEjja	Tacana	mi	mi	m i	5752	1640	m i a	2sg		None
86	we	EseEjja	Tacana	ekʷana	ekʷana	kʷ a n a	6184	10628	- - kʷ a n a - -	pl		None
88	you	EseEjja	Tacana	mikiana	mikiana	m i + !kj/kʷ a n a	6497	1640 10628	m i + !k.j/kʷ a n a	2sg pl		None
90	they	EseEjja	Tacana	okʷana	okʷana	o + kʷ a n a	5694	11429 10628	o kʷ a n a	3sg pl		None
91	they	EseEjja	Tacana	oyakʷana	oyakʷana	o j a + kʷ a n a	5694	1622 10628	o j a kʷ a n a	 pl		None
92	animal	EseEjja	Tacana	ixiakaxi	ixiakaxi	i x i a k a x i	42	62	i x i a k a x i			None
93	pig	EseEjja	Tacana	ɲo	ɲo	ɲ o	4193	8433	ɲ o			None
94	pig	EseEjja	Tacana	wo	wo	w o	4194	8434	w o			None
95	chicken	EseEjja	Tacana	kačina-ha-ɓakʷa	kačina-ha-ɓakʷa	k a tʃ i n a + h a + ɓ a kʷ a	945	421 1897 434	k a tʃ i n a - - + h a - + ɓ a kʷ a			None
96	duck	EseEjja	Tacana	xoxi	xoxi	x o x i	1624	3220	x o x i			None
97	nest	EseEjja	Tacana	xani	xani	x a n i	3854	1677	x a n i	opening		None
98	bird	EseEjja	Tacana	kʷičoxi	kʷičoxi	kʷ i tʃ o x i	471	910	kʷ i tʃ o x i			None
99	vulture	EseEjja	Tacana	ɓeʔo	ɓeʔo	ɓ e ʔ o	6065	12278	ɓ e - ʔ o - - -			None
100	vulture	EseEjja	Tacana	ɓaɓaʔai	ɓaɓaʔai	ɓ a ɓ a ʔ a i	6072	12278	ɓ a - ɓ a ʔ a i			None
101	bat	EseEjja	Tacana	ɓiɲa	ɓiɲa	ɓ i ɲ a	254	517	ɓ i ɲ a			None
102	parrot	EseEjja	Tacana	ičako	ičako	i tʃ a k o	4110	8281	i tʃ a - k o -			None
103	owl	EseEjja	Tacana	ɓio-ɓio	ɓio-ɓio	ɓ i o + ɓ i o	4081	460 460	ɓ i - - o - - + ɓ i - o	forest forest		None
104	owl	EseEjja	Tacana	pexe-pexe	pexe-pexe	p e x e + p e x e	4088	462 462	p e x e + p e x e			None
105	dog	EseEjja	Tacana	iɲaewa	iɲaewa	i ɲ a + e w a	1530	1044 3028	- i ɲ a ( - - ) + - e w a	hair ?		None
106	cat	EseEjja	Tacana	miči	miči	m i tʃ i	866	1717	m i - tʃ i - - -			None
107	fish	EseEjja	Tacana	hai	hai	h a i	2096	4255	h a i			None
108	deer	EseEjja	Tacana	ɗokʷe-i	ɗokʷe-i	ɗ o kʷ e + i	1434	472 192	ɗ o kʷ i			None
109	louse	EseEjja	Tacana	ɓi'aʔ	ɓi'aʔ	ɓ i a.ʔ	3429	617	ɓ i a ʔ	insect		None
110	ant	EseEjja	Tacana	šeme	šeme	ʃ e m e	53	80	ʃ e m e			None
111	spider	EseEjja	Tacana	ɓaša	ɓaša	ɓ a ʃ a	5313	10664	ɓ a ʃ a			None
112	bee	EseEjja	Tacana	wini	wini	w i n i	344	5746	w i n i	bee		None
113	bee	EseEjja	Tacana	meme	meme	m e m e	351	687	m e m e			None
114	wasp	EseEjja	Tacana	ɓia	ɓia	ɓ i a	6156	617	ɓ i - a	insect		None
115	fly (insect)	EseEjja	Tacana	mee-mee	mee-mee	m e e + m e e	2205	353 353	m e m e e			None
116	fly (insect)	EseEjja	Tacana	bee	bee	b e e	2212	4454	b e e			None
117	mosquito	EseEjja	Tacana	ɗi	ɗi	ɗ i	3641	7323	ɗ i -			None
118	worm	EseEjja	Tacana	kono	kono	k o n o	6378	501	k o n o			None
119	worm	EseEjja	Tacana	koxokʷaši	koxokʷaši	k o x o kʷ a ʃ i	6384	12946	k o x o kʷ a ʃ i			None
120	snake	EseEjja	Tacana	peeyo	peeyo	p e e j o	5194	10443	p e ( e j ) o			None
121	snake	EseEjja	Tacana	-ɓakʷa-	-ɓakʷa-	ɓ a kʷ a	5192	506	ɓ a kʷ - a			None
122	butterfly	EseEjja	Tacana	xapipi	xapipi	x a p i p i	783	1532	x a p i p i -			None
123	snail	EseEjja	Tacana	sixaxa	sixaxa	s i x a x a	5186	524	s i x a x a			None
124	snail	EseEjja	Tacana	šemo	šemo	ʃ e m o	5181	10416	ʃ e m o			None
125	frog	EseEjja	Tacana	ena-wio	ena-wio	n a + w i o	2367	25 528	n a + w i - o	water ?		None
126	frog	EseEjja	Tacana	poxo-poxo	poxo-poxo	p o x o + p o x o	2375	4771 4771	p o x o + p o x o			None
127	lizard	EseEjja	Tacana	šanei	šanei	ʃ a n e i	3367	6772	ʃ a n e i			None
128	lizard	EseEjja	Tacana	šaexame	šaexame	ʃ a e x a m e	3376	530	ʃ a e x a m - e			None
129	turtle	EseEjja	Tacana	šapoxene	šapoxene	ʃ a p o x e n e	5978	12073	ʃ a p o x e n e			None
130	turtle	EseEjja	Tacana	ɗaki-ai	ɗaki-ai	ɗ a k i + a i	5984	1579 12069	ɗ a k i + - a - i	clothes ?		None
131	body	EseEjja	Tacana	e-yami	e-yami	j a m i	576	7088	j a m i	meat		None
132	skin	EseEjja	Tacana	e'he	e'he	h e	5069	143	h e ( - - )	skin		None
133	skin	EseEjja	Tacana	e-heei	e-heei	h e e i	5069	143	h e ( e i )			None
134	hair (head)	EseEjja	Tacana	e-woxaɲa	e-woxaɲa	w o x a + ɲ a	2660	556 1044	w o x a + - ɲ a	head hair		None
135	hair (head)	EseEjja	Tacana	e-iɲa	e-iɲa	i ɲ a	2661	1044	i ɲ a	hair		None
136	beard	EseEjja	Tacana	e-kʷe-kʷe	e-kʷe-kʷe	kʷ e + kʷ e	304	710 710	kʷ e - - + kʷ e - -	mouth_prefix head?		None
137	hair (body)	EseEjja	Tacana	e-yam-iɲa	e-yam-iɲa	j a m + i ɲ a	2648	5289 1044	j a m + i ɲ a	 hair		None
138	blood	EseEjja	Tacana	e'na	e'na	n a	531	1033	n a	blood		None
139	bone	EseEjja	Tacana	e'saʔ	e'saʔ	s a ʔ	598	1163	s a ʔ	bone		None
140	rib	EseEjja	Tacana	e-ɗoxo-xanixi	e-ɗoxo-xanixi	ɗ o x o + x a n i x i	4469	9013 9014	ɗ o x o + x a n i x i			None
141	horn (anatomy)	EseEjja	Tacana	ešiana	ešiana	ʃ i a n a	2882	5781	ʃ i - a n a -			None
142	tail	EseEjja	Tacana	e-waʔo	e-waʔo	w a ʔ o	5622	11280	- w a ʔ o			None
143	back	EseEjja	Tacana	e-hakaxa	e-hakaxa	h a + k a + x a	199	3369 1255 3369	h a + k a + x a	_:bp-round/small _:verbal small_round_obj		None
144	head	EseEjja	Tacana	e-sapa	e-sapa	s a + p a	2731	1163 193	s a + p a	bone head		None
145	head	EseEjja	Tacana	e-woxa	e-woxa	w o x a	2736	556	w o x a	head		None
146	brain	EseEjja	Tacana	e-sapa-ɗoxo	e-sapa-ɗoxo	s a + p a + ɗ o x o	634	1163 193 826	s a + p a + ɗ o x o	bone head ?		None
147	face	EseEjja	Tacana	e-ɓosi	e-ɓosi	ɓ o + s i	1816	3678 858	ɓ o + s i	face		None
148	face	EseEjja	Tacana	e-bose	e-bose	b o s e	1816	704	b o s e	head/face		None
149	face	EseEjja	Tacana	e-šemo	e-šemo	ʃ e m o	1824	648	ʃ e m o	cheek		None
150	forehead	EseEjja	Tacana	e-ɓawa	e-ɓawa	ɓ a w a	2304	4650	ɓ a w a			None
151	forehead	EseEjja	Tacana	e-pawa	e-pawa	p a w a	2304	4650	p a w a			None
152	jaw	EseEjja	Tacana	e-šemo-saʔ	e-šemo-saʔ	ʃ e m o + s a ʔ	3013	648 1163	ʃ e m o + s a ʔ	cheek bone		None
153	cheek	EseEjja	Tacana	e-šemo	e-šemo	ʃ e m o	910	648	ʃ e m o	cheek		None
154	eye	EseEjja	Tacana	e-ko-xa	e-ko-xa	k o x a	1775	713	k o x a	eye		None
155	eyebrow	EseEjja	Tacana	e-ko-xa-šaɲawa	e-ko-xa-šaɲawa	k o x a + ʃ a ɲ a + w a	1788	713 637 612	k o x a + ʃ a ɲ a w a	eye ? eyebrow		None
156	eyelash	EseEjja	Tacana	e-ko-xa-ɲa	e-ko-xa-ɲa	k o x a + ɲ a	1804	713 1044	k o x a + - ɲ a	eye hair		None
157	eyelash	EseEjja	Tacana	e-ko-xa-šaɲawa	e-ko-xa-šaɲawa	k o x a + ʃ a ɲ a + w a	1804	713 637 612	k o x a + ʃ a ɲ a + w a	eye ? eyebrow		None
158	ear	EseEjja	Tacana	e-ša-xa	e-ša-xa	ʃ a x a	1650	741	ʃ a x a	ear		None
159	nose	EseEjja	Tacana	e'wiʔ	e'wiʔ	w i ʔ	3900	681	w i ʔ	face		None
160	mouth	EseEjja	Tacana	e-naɓa	e-naɓa	n a ɓ a	3685	7403	n a ɓ a	mouth		None
161	lip	EseEjja	Tacana	e-kʷasa	e-kʷasa	kʷ a + s a	3348	733 1163	kʷ a	go bone		None
162	tongue	EseEjja	Tacana	e-ana	e-ana	a n a	5859	645	- - a n a	mouth		None
163	tooth	EseEjja	Tacana	e'seʔ	e'seʔ	s e ʔ	5867	651	s e ʔ	tooth		None
164	neck	EseEjja	Tacana	e-piki	e-piki	p i k i	3816	7664	p i k i -			None
165	throat	EseEjja	Tacana	e-kahaha	e-kahaha	k a + h a h a	5781	831 829	k a h a h a	throat throat		None
166	shoulder	EseEjja	Tacana	e-ɓaʔaxa	e-ɓaʔaxa	ɓ a ʔ a x a	4948	9914	ɓ a ʔ a x - a			None
167	shoulder	EseEjja	Tacana	e-ɓeyoxo	e-ɓeyoxo	ɓ e + j o x o	4949	561 286	ɓ e + j o x o	back ?		None
168	arm	EseEjja	Tacana	e-aa	e-aa	a a	86	131	- a a	arm		None
169	armpit	EseEjja	Tacana	enakʷiši	enakʷiši	n a kʷ i ʃ i	100	159	n a kʷ i ʃ i			None
170	elbow	EseEjja	Tacana	e-ɓašo	e-ɓašo	ɓ a ʃ o	1687	921	ɓ a ʃ o - -	elbow		None
171	hand	EseEjja	Tacana	e-me	e-me	m e	2692	948	m e - - - - -	hand_prefix		None
172	palm of hand	EseEjja	Tacana	e-me-xoto	e-me-xoto	m e + x o t o	4103	948 965	m e + x o t o	hand_prefix ?		None
173	finger	EseEjja	Tacana	e-me-sisi	e-me-sisi	m e + s i s i	2030	948 952	m e + s i s i	hand_prefix finger		None
