CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM	DOCULECT
639	MOUNTAIN	mountain	montaña, monte	serra	nihi	Capanahua
420	FOREST	forest	selva	floresta, mata	nihi	Capanahua
2124	SMELL	smell	olor	cheirar	nihis, hitsá	Capanahua
1408	HEAR	hear	oír	ouvir	nincaquin	Capanahua
127	EXTINGUISH	extinguish	apagar	extinguir	nocajaquin	Capanahua
1387	ARRIVE	arrive	llegar, alcanzar	chegar	nocoti	Capanahua
1439	SWIM	swim	nadar	nadar	nonahi	Capanahua
1574	FLOAT	float	flotar	flutuar	nonoti	Capanahua
1844	BOAT	boat	bote	canoa	nonti	Capanahua
1970	CANOE	canoe	canoa, curiara	canoa	nonti	Capanahua
1212	WE	we	nosotros/nosotras	nós	noque	Capanahua
1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	voar	noyahi	Capanahua
996	DEAF	deaf	sordo	surdo	pabe	Capanahua
1247	EAR	ear	oreja	orelha	pabinqui	Capanahua
2334	MELT	melt	derretir		pachiquin, tachiquin	Capanahua
404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada	bebida fermentada	pahe	Capanahua
785	STRONG	strong	fuerte	FORTE	pahe, coshi	Capanahua
1986	DISEASE	disease	enfermedad (dolencia)		pahe, hisin	Capanahua
1463	DRUNK	drunk	ebrio	embriagado	paheni	Capanahua
2019	HAMMOCK	hammock	hamaca, chinchorro	rede	paish	Capanahua
1453	WASH	wash	lavar	lavar	panoquin, chocaquin	Capanahua
928	EMBRACE	embrace	abrazar (abrazo)	abraçar	paoquin, hicóquin	Capanahua
1217	FATHER	father	papá	pai	papa, hepa	Capanahua
1280	FALL	fall	caer	cair	paqueti, maihi	Capanahua
3230	DECEIVE	deceive	engañar		paranquin, paranahti	Capanahua
728	FIRST	first	primero	primeiro	pari	Capanahua
1778	APPROACH	approach	acercarse	aproximar	pataxquin	Capanahua
1360	DUCK	duck	pato, ánade	pato	pato, nonon	Capanahua
212	FIELD	field	roza, sementera	roça	patsa	Capanahua
1959	RAW	raw	crudo	cru	paxa	Capanahua
1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo	paxahi	Capanahua
1996	GET TIRED	get tired	cansar(se)		paxquini, jatsani	Capanahua
360	FAN (ACTION)	fan (action)	abanicar, aventar	ventilar, abanar	payaquin	Capanahua
1291	BACK	back	espalda	costas	peca, pexo, cahté	Capanahua
352	UNTIE	untie	desatar	desatar	pecaquin, mexninquin	Capanahua
628	LEAF	leaf	hoja de árbol	folha	pehi	Capanahua
1201	FEATHER	feather	pluma	pluma	pehi	Capanahua
1257	WING	wing	ala	asa	pehi, bash	Capanahua
1633	FLAT	flat	plano	plano, chato	peshpani, champani	Capanahua
1482	SHOULDER	shoulder	hombro	ombro	pexo tocan, perebo	Capanahua
2531	BROAD	broad	ancho		pextín, naxbá	Capanahua
1533	BE HUNGRY	be hungry	hambriento	TER FOME	picatsihqui, natsini	Capanahua
493	FIVE	five	cinco	cinco	pichca	Capanahua
994	BOW	bow	areo, o bodoquera	arco	pihá	Capanahua
1063	NEPHEW	nephew	sobrino	sobrinho	pihasha	Capanahua
1424	YELLOW	yellow	amarillo	amarelo	pioni, cana	Capanahua
1403	BITE	bite	morder	morder	piquin	Capanahua
1246	SMALL	small	pequeño	pequeno	pishcá, hani tahma	Capanahua
801	RIB	rib	costilla	costela	pishi xao	Capanahua
42	STINKING	stinking	hediondo	fedorento, mal cheiroso	pisi	Capanahua
1728	ROTTEN	rotten	podrido	podre	pisi, payo	Capanahua
1334	GUTS	guts	tripas	vísceras	poco	Capanahua
819	STOMACH	stomach	estómago	estômago, barriga	poco, jató	Capanahua
2004	BEND	bend	encorvar, doblar	dobrar, curvar	pohaquin, catoquin	Capanahua
676	SHIT (DEFECATE)	shit (defecate)	defecar, excremento (noun)	defecar	pohihi	Capanahua
3080	SPLIT OPEN	split open	rajar		pohtasquin, caxquequin	Capanahua
1404	STRAIGHT	straight	recto	reto	ponte, sibani	Capanahua
735	OWL	owl	lechuza	mocho, coruja	popo	Capanahua
2	DUST	dust	polvo	pó	poto, chitex, chishpó	Capanahua
1414	SQUEEZE	squeeze	exprimir	espremer, comprimir	potsiquin, jentsinquin, bishtaxquin	Capanahua
1673	ARM	arm	brazo	braço	poyan, pexo xao, bax	Capanahua
1336	EAT	eat	comer	comer	puquin, hahquin	Capanahua
492	THREE	three	tres	três	qimisha	Capanahua
923	LOVE	love	querer	amar	queeni, noiquin, jenipahichi	Capanahua
1156	OPEN	open	abrir	abrir, aberto	quehpenquin, quehchaquin	Capanahua
1275	ANSWER	answer	contestar	responder	quehuinquin	Capanahua
1457	SEW	sew	coser	costurar	quehxequin, rechíquin	Capanahua
1593	DEEP	deep	profundo, hondo	fundo	quempo, nemin	Capanahua
1157	BECAUSE	because	porque	porque	quen, copi	Capanahua
678	BEARD	beard	barba	barba	queni, corani, tepán	Capanahua
1396	SHARP	sharp	afilado, aguzado, filoso	agudo, afiado	queno	Capanahua
251	SHARPEN (SOMETHING)	sharpen (something)	afilar	AFIAR	quenoquin, xexquiquin	Capanahua
3653	COOKING POT	cooking pot	olla, paila	panela	quentí, chomo	Capanahua
1261	SING	sing	cantar	cantar	queoti, behuahi	Capanahua
478	LIP	lip	labio	lábios	quexá	Capanahua
1540	EYELASH	eyelash	pestaña	pestana, cílio	quexni, bero bexni	Capanahua
1244	THICK	thick	grueso	grosso	quextó, quehto	Capanahua
1278	VOMIT	vomit	vomitar, arrojar	vomitar	quinani, janani	Capanahua
1297	LEG	leg	pierna	perna	quishi, huistó, huihtax	Capanahua
1127	SEND	send	enviar, mandar	enviar, mandar	raanquin	Capanahua
1498	TWO	two	dos	dois, duas	rabe	Capanahua
1500	FOUR	four	cuatro	quatro	rabénon rabé, chosco	Capanahua
1371	KNEE	knee	rodilla	joelho	raboxo	Capanahua
215	LIE DOWN	lie down	acostarse, echarse	deitar-se	racati, hoxahi	Capanahua
1325	FRIEND	friend	amigo, compañero	amigo, companheiro	raehi	Capanahua
1268	YES	yes	sí, afirmativo	sim, afirmativo	rahan, che	Capanahua
1580	ONLY	only	solo, solamente	só, somente	rahsi, cohren	Capanahua
1358	ENEMY	enemy	enemigo	inimigo	rahui	Capanahua
1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha	rampa	Capanahua
189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo	rani	Capanahua
580	FUR	fur	peludo	pelo	raníhhuanhya	Capanahua
1923	ROUGH	rough	áspero	áspero	rashchá bi res	Capanahua
480	PLATE	plate	plato	prato	rato, quencha	Capanahua
1324	SLIP	slip	resbalar	escorregar, resvalar	raxcoti	Capanahua
1417	KILL	kill	matar	matar	rehtequin, hahquin	Capanahua
777	FLUTE	flute	flauta	flauta	rehue	Capanahua
1033	GRIND	grind	moler	moer	renequin	Capanahua
1221	NOSE	nose	nariz	nariz	requin	Capanahua
208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	muco	resho, hoco	Capanahua
1218	ROPE	rope	soga, cuerda	corda, cordel	risbí, nishi	Capanahua
1433	HIT	hit	golpear	bater	rishquiquin, reraquin, rehtequin	Capanahua
1230	DIRTY	dirty	sucio	sujo	rishtá, taro	Capanahua
704	CLEAN	clean	limpio	limpo	rishtáma	Capanahua
8	CURSE	curse	maldecir	amaldiçoar	roaquin, choxaquin	Capanahua
974	TOBACCO	tobacco	tabaco	tabaco	rome	Capanahua
1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar	romejaquin, jotiti	Capanahua
1043	BRAID	braid	trenzar	trança	ronocahxojaquin	Capanahua
