# Wordlist

# DATA
ID	FORM	SEGMENTS	DOCULECT	FAMILY	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOCODE
240877	kera	k e r a	Chipaya	Uru-Chipaya	air	27	AIR	chip1262
241893	tkiʔ'ma	t k i ʔ m a	Mosetén	Mosetén-Chimané	air	27	AIR	mose1249
244180	kana	k a n a	Cavineña	Pano-Tacanan	air	27	AIR	cavi1250
246152	beni	b e n i	Ese Ejja (Huarayo)	Pano-Tacanan	air	27	AIR	esee1248
248051	punapuna	p u n a p u n a	Cashibo	Pano-Tacanan	air	27	AIR	cash1251
248052	soɲo	s o ɲ o	Cashibo	Pano-Tacanan	air	27	AIR	cash1251
249918	ko'ʔini	k o ʔ i n i	Chácobo	Pano-Tacanan	air	27	AIR	chac1251
251062	niwɨ	n i w ɨ	Shipibo-Conibo	Pano-Tacanan	air	27	AIR	ship1254
251063	manaõ	m a n a õ	Shipibo-Conibo	Pano-Tacanan	air	27	AIR	ship1254
252386	nɨβɨ	n ɨ β ɨ	Yaminahua	Pano-Tacanan	air	27	AIR	yami1256
253729	da'βukue	d a β u k u e	Cayuvava	Cayubaba	air	27	AIR	cayu1262
#
223657	yãmi	y/j ã m i	Ninam (Shirishana variety)	Yanomamic	alone, only	1580	ONLY	nina1238
224602	yãmi	y/j ã m i	Yanomámi	Yanomamic	alone, only	1580	ONLY	yano1262
241523	alax̣a	a l a x a	Chipaya	Uru-Chipaya	alone, only	1580	ONLY	chip1262
241524	kama	k a m a	Chipaya	Uru-Chipaya	alone, only	1580	ONLY	chip1262
242695	'momo	m o m o	Mosetén	Mosetén-Chimané	alone, only	1580	ONLY	mose1249
243822	bedaokʷa	b e d a o kʷ a	Araona	Pano-Tacanan	alone, only	1580	ONLY	arao1248
244871	tota	t o t a	Cavineña	Pano-Tacanan	alone, only	1580	ONLY	cavi1250
245884	mee	m eː	Ese Ejja	Pano-Tacanan	alone, only	1580	ONLY	esee1248
245885	oe	o e	Ese Ejja	Pano-Tacanan	alone, only	1580	ONLY	esee1248
247687	bawi	b a w i	Tacana	Pano-Tacanan	alone, only	1580	ONLY	taca1256
248599	kuni	k u n i	Cashibo	Pano-Tacanan	alone, only	1580	ONLY	cash1251
249601	wɨsti-s	w ɨ s t i + s	Catuquina	Pano-Tacanan	alone, only	1580	ONLY	pano1254
250649	hamɨ	h a m ɨ	Chácobo	Pano-Tacanan	alone, only	1580	ONLY	chac1251
250650	-mɨ	m ɨ	Chácobo	Pano-Tacanan	alone, only	1580	ONLY	chac1251
250651	roʔa	r o ʔ a	Chácobo	Pano-Tacanan	alone, only	1580	ONLY	chac1251
251986	-βičo	β i tʃ o	Shipibo-Conibo	Pano-Tacanan	alone, only	1580	ONLY	ship1254
251987	-rɨs	r ɨ s	Shipibo-Conibo	Pano-Tacanan	alone, only	1580	ONLY	ship1254
251988	-βiṣ̌	β i ʂ	Shipibo-Conibo	Pano-Tacanan	alone, only	1580	ONLY	ship1254
253315	a-rɨs	a + r ɨ s	Yaminahua	Pano-Tacanan	alone, only	1580	ONLY	yami1256
253316	βisti	β i s t i	Yaminahua	Pano-Tacanan	alone, only	1580	ONLY	yami1256
254543	karata	k a r a t a	Cayuvava	Cayubaba	alone, only	1580	ONLY	cayu1262
254544	mameha	m a m e h a	Cayuvava	Cayubaba	alone, only	1580	ONLY	cayu1262
256453	sokaʔ-te	s o k a ʔ + t e	Movima	Movima	alone, only	1580	ONLY	movi1243
283446	'waw	w a w	Tehuelche	Chonan	alone, only	1580	ONLY	tehu1242
284285	miyen	m i y/j e n	Selknam	Chonan	alone, only	1580	ONLY	onaa1245
284286	hòw	h o w	Selknam	Chonan	alone, only	1580	ONLY	onaa1245
#
256759	altare	a l t a r e	Movima	Movima	altar	853	ALTAR	movi1243
#
223678	mašulu	m a ʃ u l u	Ninam (Shirishana variety)	Yanomamic	always	1676	ALWAYS	nina1238
224624	širõ	ʃ i r õ	Yanomámi	Yanomamic	always	1676	ALWAYS	yano1262
241552	tira	t i r a	Chipaya	Uru-Chipaya	always	1676	ALWAYS	chip1262
242720	erex'kaɲ	e r e x k a ɲ	Mosetén	Mosetén-Chimané	always	1676	ALWAYS	mose1249
243851	bediwe	b e d i w e	Araona	Pano-Tacanan	always	1676	ALWAYS	arao1248
243852	dipapowe	d i p a p o w e	Araona	Pano-Tacanan	always	1676	ALWAYS	arao1248
244891	dotʸa-wekaka	d o tʲ a + w e k a k a	Cavineña	Pano-Tacanan	always	1676	ALWAYS	cavi1250
245907	-tii	t iː	Ese Ejja	Pano-Tacanan	always	1676	ALWAYS	esee1248
247712	c̷ine_mea-mea	tʃ i n e + m e a + m e a	Tacana	Pano-Tacanan	always	1676	ALWAYS	taca1256
249626	βari_βɨno-i-ma	β a r i + β ɨ n o + i + m a	Catuquina	Pano-Tacanan	always	1676	ALWAYS	pano1254
250671	haskara	h a s k a r a	Chácobo	Pano-Tacanan	always	1676	ALWAYS	chac1251
252017	hatiβitiã	h a t i β i t i ã	Shipibo-Conibo	Pano-Tacanan	always	1676	ALWAYS	ship1254
252018	-pačo	p a tʃ o	Shipibo-Conibo	Pano-Tacanan	always	1676	ALWAYS	ship1254
253348	mɨ̃ṣ̌otaima	m ɨ ʂ o t a i m a	Yaminahua	Pano-Tacanan	always	1676	ALWAYS	yami1256
254570	ɲaɲa	ɲ a ɲ a	Cayuvava	Cayubaba	always	1676	ALWAYS	cayu1262
254571	ɲo-	ɲ o	Cayuvava	Cayubaba	always	1676	ALWAYS	cayu1262
254572	pæ-	p æ	Cayuvava	Cayubaba	always	1676	ALWAYS	cayu1262
254573	ya'hũune	y/j a h ũ u n e	Cayuvava	Cayubaba	always	1676	ALWAYS	cayu1262
256479	hem-piteɬ	h e m + p i t e ɬ	Movima	Movima	always	1676	ALWAYS	movi1243
283463	'ketš-kˀo	k e t ʃ + kˀ o	Tehuelche	Chonan	always	1676	ALWAYS	tehu1242
283464	'kaʔle-kˀo	k a ʔ l e + kˀ o	Tehuelche	Chonan	always	1676	ALWAYS	tehu1242
284306	hànṣ	h a n ʂ	Selknam	Chonan	always	1676	ALWAYS	onaa1245
#
224812	rə-mou	r ə + m o u	Yanomámi	Yanomamic	ambush	65	AMBUSH	yano1262
242976	'hœmitčye'haʔ	h œ m i t tʃ y/j e h a ʔ	Mosetén	Mosetén-Chimané	ambush	65	AMBUSH	mose1249
246815	ba-kwe	b a + kʷ e	Ese Ejja (Huarayo)	Pano-Tacanan	ambush	65	AMBUSH	esee1248
247977	kawaširi	k a w a ʃ i r i	Tacana	Pano-Tacanan	ambush	65	AMBUSH	taca1256
248744	tɨsɨti	t ɨ s ɨ t i	Cashibo	Pano-Tacanan	ambush	65	AMBUSH	cash1251
249850	sotã-	s o t ã	Catuquina	Pano-Tacanan	ambush	65	AMBUSH	pano1254
253650	čɨtɨnã-kĩ	tʃ ɨ t ɨ n ã + k ĩ	Yaminahua	Pano-Tacanan	ambush	65	AMBUSH	yami1256
#
222991	pata_pək	p a t a + p ə k	Ninam (Shirishana variety)	Yanomamic	ancestors	1669	ANCESTORS	nina1238
223983	no_pata-pɨ	n o + p a t a + p ɨ	Yanomámi	Yanomamic	ancestors	1669	ANCESTORS	yano1262
241956	irik'yač	i r i k y a tʃ	Mosetén	Mosetén-Chimané	ancestors	1669	ANCESTORS	mose1249
244242	-baba-kʷana	b a b a + kʷ a n a	Cavineña	Pano-Tacanan	ancestors	1669	ANCESTORS	cavi1250
246210	ese-exa_ečii-kiana	e s e + e x a + e tʃ iː + k i a n a	Ese Ejja (Huarayo)	Pano-Tacanan	ancestors	1669	ANCESTORS	esee1248
248106	ʔĩka	ʔ ĩ k a	Cashibo	Pano-Tacanan	ancestors	1669	ANCESTORS	cash1251
248871	šɨni-pa-βo	ʃ ɨ n i + p a + β o	Catuquina	Pano-Tacanan	ancestors	1669	ANCESTORS	pano1254
249982	rɨkɨ-βo	r ɨ k ɨ + β o	Chácobo	Pano-Tacanan	ancestors	1669	ANCESTORS	chac1251
251145	moaβo	m o a β o	Shipibo-Conibo	Pano-Tacanan	ancestors	1669	ANCESTORS	ship1254
251146	yosi	y/j o s i	Shipibo-Conibo	Pano-Tacanan	ancestors	1669	ANCESTORS	ship1254
251147	rɨkɨ̃	r ɨ k ɨ	Shipibo-Conibo	Pano-Tacanan	ancestors	1669	ANCESTORS	ship1254
252457	ṣ̌ini-pao	ʂ i n i + p a o	Yaminahua	Pano-Tacanan	ancestors	1669	ANCESTORS	yami1256
253809	meiǰu'ǰa-βaβa	m e i dʒ u dʒ a + β a β a	Cayuvava	Cayubaba	ancestors	1669	ANCESTORS	cayu1262
253810	ure	u r e	Cayuvava	Cayubaba	ancestors	1669	ANCESTORS	cayu1262
255834	hei-ɬe	h e i + ɬ e	Movima	Movima	ancestors	1669	ANCESTORS	movi1243
282899	'kˀewkˀnk	kˀ e w kˀ n k	Tehuelche	Chonan	ancestors	1669	ANCESTORS	tehu1242
283762	howenn	h o w e nː	Selknam	Chonan	ancestors	1669	ANCESTORS	onaa1245
#
253139	ači-ma-ti	a tʃ i + m a + t i	Yaminahua	Pano-Tacanan	anchor	1870	ANCHOR	yami1256
#
223800	šo	ʃ o	Ninam (Shirishana variety)	Yanomamic	and	1577	AND	nina1238
242885	hũdʸe'yaʔ	h ũ dʲ e y a ʔ	Mosetén	Mosetén-Chimané	and	1577	AND	mose1249
245032	hadʸa	h a dʲ a	Cavineña	Pano-Tacanan	and	1577	AND	cavi1250
253530	-nõ	n õ	Yaminahua	Pano-Tacanan	and	1577	AND	yami1256
253531	yaβi	y/j a β i	Yaminahua	Pano-Tacanan	and	1577	AND	yami1256
256641	če	tʃ e	Movima	Movima	and	1577	AND	movi1243
283590	'āwe	a w e	Tehuelche	Chonan	and	1577	AND	tehu1242
284442	wày	w a y/j	Selknam	Chonan	and	1577	AND	onaa1245
#
223760	waaye	w aː y/j e	Ninam (Shirishana variety)	Yanomamic	anger	82	ANGER	nina1238
224706	wãyuwã	w ã y/j u w ã	Yanomámi	Yanomamic	anger	82	ANGER	yano1262
241655	suri	s u r i	Chipaya	Uru-Chipaya	anger	82	ANGER	chip1262
241656	ṣ̌awx-	ʂ a w x	Chipaya	Uru-Chipaya	anger	82	ANGER	chip1262
242827	fwa'koi	fʷ a k o i	Mosetén	Mosetén-Chimané	anger	82	ANGER	mose1249
242828	fwa'kui	fʷ a k u i	Mosetén	Mosetén-Chimané	anger	82	ANGER	mose1249
