CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	Form
3208	CENTER OR MIDDLE	center or middle	medio, centro	
1730	CHEEK	cheek	mejilla	
2827	MENSTRUATE	menstruate	menstruar	
601	LIE (MISLEAD)	lie (mislead)	mentir	
2017	MIX	mix	mezclar, mixturar	
781	FEAR (FRIGHT)	fear (fright)	miedo	
942	HONEY	honey	miel	
1819	LOOK	look	mirar, contemplar	
816	HALF	half	mitad	
208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	
143	HUMID	humid	mojado	
1726	WET	wet	mojado	
2069	SOAK (VERB)	soak (verb)	mojar	
2324	GET WET	get wet	mojarse	
1033	GRIND	grind	moler	
639	MOUNTAIN	mountain	montaña, cerro	
420	FOREST	forest	monte, selva	
1403	BITE	bite	morder	
2409	BROWN	brown	moreno	
1494	DIE	die	morir	
1504	FLY (INSECT)	fly (insect)	mosca	
765	MOVE	move	mover	
77	YOUNG WOMAN	young woman	muchacha, jóven mujer	
76	YOUNG MAN	young man	muchacho, jóven	
3452	MUCH	much	mucho	
1198	MANY	many	muchos	
1666	MUTE	mute	mudo	
1625	DEAD	dead	muerto	
962	WOMAN	woman	mujer	
907	OLD WOMAN	old woman	mujer vieja	
1793	BAT	bat	murciélago	
471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	
1090	BE BORN	be born	nacer	
1439	SWIM	swim	nadar	
834	BUTTOCKS	buttocks	nalgas, trasero	
1221	NOSE	nose	nariz	
163	BLACK	black	negro	
539	NEST	nest	nido	
249	FOG	fog	niebla, neblina	
1646	GIRL	girl	niña	
1304	CHILD (YOUNG HUMAN)	child (young human)	niño	
1366	BOY	boy	niño (chico)	
1240	NOT	not	no	
1269	NO	no	no, negativo	
1233	NIGHT	night	noche	
1405	NAME	name	nombre	
1212	WE	we	nosotros/nosotras	
1489	CLOUD	cloud	nube	
2341	CLOUDY	cloudy	nublado	
1231	NEW	new	nuevo	
3749	HATE (LOATHING)	hate (loathing)	odiar	
1408	HEAR	hear	oír	
1248	EYE	eye	ojo	
1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	
3653	COOKING POT	cooking pot	olla, paila	
2124	SMELL	smell	olor	
1523	FORGET	forget	olvidar	
1838	NAVEL	navel	ombligo	
1247	EAR	ear	oreja	
3463	RIVERBANK	riverbank	orilla, ribera	
1142	URINE	urine	orina	
592	PISS	piss	orinar	
11	DARKNESS	darkness	oscuridad, tinieblas	
706	DARK	dark	oscuro	
1217	FATHER	father	padre, papá	
505	PARENTS	parents	padres	
937	BIRD	bird	pájaro, ave	
1183	PALM OF HAND	palm of hand	palma de la mano	
593	POTATO	potato	papa	
882	PARROT	parrot	papagayo	
1644	RELATIVES	relatives	parientes, parentela	
606	GRASS	grass	pasto, hierba	
1360	DUCK	duck	pato, ánade	
2390	PECCARY	peccary	pecarí	
1592	CHEST	chest	pecho	
1828	ASK (REQUEST)	ask (request)	pedir	
1159	FART	fart	pedo	
2070	COMB (VERB)	comb (verb)	peinar	
1475	COMB	comb	peine	
275	PEEL	peel	pelar	
1423	FIGHT	fight	pelear	
580	FUR	fur	pellejo	
378	PINCH	pinch	pellizcar	
189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	
1222	PENIS	penis	pene	
1415	THINK (REFLECT)	think (reflect)	pensar	
2271	THINK	think	pensar	
1246	SMALL	small	pequeño	
1660	LOSE	lose	perder	
423	GET LOST	get lost	perderse	
1564	LAZY	lazy	perezoso	
2009	DOG	dog	perro	
1047	PURSUE	pursue	perseguir	
683	PERSON	person	persona, ser humano	
1210	HEAVY	heavy	pesado	
2638	FISHING	fishing	pescar	
1540	EYELASH	eyelash	pestaña	
227	FISH	fish	pez, pescado	
544	SPICY	spicy	picante	
1301	FOOT	foot	pie	
857	STONE	stone	piedra	
2613	SKIN (HUMAN)	skin (human)	piel	
763	SKIN	skin	piel, cutis, pellejo	
1297	LEG	leg	pierna	
1392	LOUSE	louse	piojo	
1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	
1201	FEATHER	feather	pluma	
1674	POOR	poor	pobre	
1242	FEW	few	pocos	
1728	ROTTEN	rotten	podrido	
2	DUST	dust	polvo	
998	PUT	put	poner	
1157	BECAUSE	because	porque	
2144	SPRING OR WELL	spring or well	pozo, manantial	
1309	ASK (INQUIRE)	ask (inquire)	preguntar	
1913	PRESS	press	presionar	
728	FIRST	first	primero	
1593	DEEP	deep	profundo, hondo	
2907	ROT	rot	pudrirse	
3609	TOWN OR VILLAGE	town or village	pueblo, ciudad	
1011	BRIDGE	bridge	puente	
1567	DOOR	door	puerta	
232	FLEA	flea	pulga	
688	LUNG	lung	pulmón	
1473	FIST	fist	puño	
1808	PUS	pus	pus	
1236	WHAT	what	qué?	
141	BURN (SOMETHING)	burn (something)	quemar, quemarse	
923	LOVE	love	querer	
1235	WHO	who	quién?	
670	ROOT	root	ráiz	
3080	SPLIT OPEN	split open	rajar	
1531	BRANCH	branch	rama	
503	FROG	frog	rana	
1767	SCRAPE	scrape	raspar, rallar	
1490	RAT	rat	rata	
1491	MOUSE	mouse	ratón	
694	GET	get	recibir, obtener	
371	PICK UP	pick up	recoger	
707	REMEMBER	remember	recordar	
1404	STRAIGHT	straight	recto	
388	FISHNET	fishnet	red, atarraya	
1355	LAUGH	laugh	reír	
1654	LIGHTNING	lightning	relámpago	
1324	SLIP	slip	resbalar	
1407	BREATHE	breathe	respirar	
3224	WRING	wring	retorcer, estrujar	
1831	MEET	meet	reunirse	
489	KIDNEY	kidney	riñón	
666	RIVER	river	río	
713	STEAL	steal	robar	
1977	DEW	dew	rocío	
827	ROLL	roll	rodar, arrollar, enrollar	
1371	KNEE	knee	rodilla	
156	RED	red	rojo	
379	BLUNT	blunt	romo, embotado	
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	
1735	TEAR (SHRED)	tear (shred)	romper, rasgar	
3020	BREAK (BREAKING)	break (breaking)	romperse, quebrarse	
1983	SNORE	snore	roncar	
1895	CLOTHES	clothes	ropa	
1182	NOISE	noise	ruido	
377	LOUD	loud	ruidoso	
1410	KNOW (SOMETHING)	know (something)	saber	
1909	SHAKE	shake	sacudir	
1274	SALT	salt	sal	
1107	GO OUT	go out	salir	
1752	LEAVE	leave	salir, marcharse, irse, quitarse	
1829	JUMP	jump	saltar	
946	BLOOD	blood	sangre	
1398	DRY	dry	seco	
1085	FOLLOW	follow	seguir	
714	SEED	seed	semilla	
1416	SIT	sit	sentado	
1649	SIT DOWN	sit down	sentarse	
1359	SEPARATE	separate	separar, apartar	
730	SNAKE	snake	serpiente	
641	MUSHROOM	mushroom	seta	
1268	YES	yes	sí, afirmativo	
1025	WHISTLE	whistle	silbar, chiflar	
1476	CHAIR	chair	silla	
129	CHOKE	choke	sofocar	
1218	ROPE	rope	soga, cuerda	
1343	SUN	sun	sol	
1580	ONLY	only	solo, solamente	
1388	SHADE	shade	sombra	
1920	DREAM (SOMETHING)	dream (something)	soñar	
175	BLOW (OF WIND)	blow (of wind)	soplar	
996	DEAF	deaf	sordo	
1856	SOFT	soft	suave	
705	GO UP (ASCEND)	go up (ascend)	subir	
1230	DIRTY	dirty	sucio	
2159	GROUND	ground	suelo, piso	
2506	LOOSE	loose	suelto	
2374	DREAM	dream	sueño	
119	DIVE	dive	sumergirse, zambullirse	
974	TOBACCO	tobacco	tabaco	
155	CHOP	chop	tajar, cortar	
463	FELL (A TREE)	fell (a tree)	talar, tumbar, derribar	
980	HEEL	heel	talón	
908	DRUM	drum	tambor	
2319	LID (COVER, CAP)	lid (cover, cap)	tapa	
1629	EVENING	evening	tarde	
769	ROOF	roof	techo	
133	WEAVE	weave	tejer	
1616	CLOTH	cloth	tela	
52	SHIVER	shiver	temblar	
214	STRETCH	stretch	tender, alargar, estirar	
773	HAVE	have	tener	
1448	HOLD	hold	tener (en mano), apoyar	
1533	BE HUNGRY	be hungry	tener hambre, hambriento	
162	HICCOUGH	hiccough	tener hipo	
1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	
549	COPULATE	copulate	tener relaciones sexuales, tener sexo	
797	TESTICLES	testicles	testículo	
1402	BREAST	breast	teta, seno, pechos	
1232	WARM	warm	tibio, cálido	
1228	EARTH (SOIL)	earth (soil)	tierra	
3603	EARTH OR LAND	earth or land	tierra	
1456	THROW	throw	tirar	
1892	TOUCH	touch	tocar	
98	ALL	all	todo	
297	CROOKED	crooked	torcido	
112	TURTLE	turtle	tortuga, motelo	
879	COUGH	cough	toser	
3913	COUGH (ACT OF COUGHING)	cough (act of coughing)	toser	
1086	WORK (ACTIVITY)	work (activity)	trabajar	
692	BRING	bring	traer	
897	SWALLOW	swallow	tragar	
1075	TRAP (PITFALL)	trap (pitfall)	trampa	
1043	BRAID	braid	trenzar	
492	THREE	three	tres	
699	SAD	sad	triste	
2252	PATH	path	trocha	
1150	THUNDER	thunder	trueno	
1215	THOU	thou	tú, usted	
1258	FINGERNAIL	fingernail	uña	
1743	JOIN	join	unirse	
1493	ONE	one	uno	
2113	OLD (USED)	old (used)	usado, viejo (de cosas)	
