DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	781	FEAR (FRIGHT)	fear (fright)	miedo	iyuame
Tacana	1444	TURN AROUND	turn around	voltear, dar vuelta	ja-barerea-ti
Tacana	1831	MEET	meet	reunirse	ja-dhitati
Tacana	1423	FIGHT	fight	pelear	ja-iche-ti
Tacana	1778	APPROACH	approach	acercarse	ja-naria-ti
Tacana	549	COPULATE	copulate	tener relaciones sexuales, tener sexo	ja-quina-ti
Tacana	581	COME BACK	come back	volver, regresar	ja-sia-pa-ti
Tacana	1413	PLAY	play	jugar	ja-situ-ti
Tacana	129	CHOKE	choke	sofocar	jaana-sia-teri-ti
Tacana	1407	BREATHE	breathe	respirar	jaanata
Tacana	677	AXE	axe	hacha	jacha
Tacana	590	NAKED	naked	desnudo	jahuijati
Tacana	1355	LAUGH	laugh	reír	jaid’ebati
Tacana	256	FOOD	food	comida	jana
Tacana	168	REST	rest	descansar	janahua
Tacana	159	SWEET POTATO	sweet potato	camote, boniato, batata	jariri
Tacana	715	SHOUT	shout	gritar	jeje, tsiatsia
Tacana	908	DRUM	drum	tambor	jememe
Tacana	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	jemi
Tacana	1359	SEPARATE	separate	separar, apartar	jemi-dera
Tacana	1275	ANSWER	answer	contestar, responder	jeu-tsu
Tacana	1376	NOW	now	ahora	jiahue
Tacana	1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	juchu
Tacana	778	SMOKE (EXHAUST)	smoke (exhaust)	humo	judu
Tacana	1519	RUN	run	correr	jududu
Tacana	175	BLOW (OF WIND)	blow (of wind)	soplar	juju
Tacana	3653	COOKING POT	cooking pot	olla, paila	jutu
Tacana	671	SAND	sand	arena	jutu-jutu
Tacana	1267	NARROW	narrow	estrecho, angosto	ma huaichidi, upahaichidi
Tacana	1292	BAD	bad	malo	madhada
Tacana	1269	NO	no	no, negativo	mahue
Tacana	1417	KILL	kill	matar	manu-a-me
Tacana	1226	YEAR	year	año	mara
Tacana	1161	THREAD	thread	hilo	masi
Tacana	1374	RING	ring	anillo, sortija	metara
Tacana	1172	SHOOT	shoot	disparar, tirar	metse nuru, puju-ju
Tacana	48	BE SILENT	be silent	callarse	mi-tana
Tacana	1215	THOU	thou	tú, usted	mi, mida
Tacana	1213	YOU	you	ustedes	micuana, metse
Tacana	1623	SPEAK	speak	hablar	mimi
Tacana	1307	LANGUAGE	language	lengua, idioma	mimi cuana
Tacana	1208	CAT	cat	gato	mishi
Tacana	1223	HEART	heart	corazón	muesumu
Tacana	819	STOMACH	stomach	estómago	muesumu
Tacana	1329	TOMORROW	tomorrow	mañana	mueta
Tacana	119	DIVE	dive	sumergirse, zambullirse	murara
Tacana	479	GROW	grow	crecer	muru
Tacana	1414	SQUEEZE	squeeze	exprimir	na-huatsu
Tacana	658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	nai
Tacana	1942	NEAR	near	cerca	nari
Tacana	1986	DISEASE	disease	enfermedad (dolencia)	neda
Tacana	1847	SICK	sick	estar enfermo	neda-ji sa
Tacana	1442	STAND	stand	estar de pie	neti
Tacana	501	LIFT	lift	levantar	neti-a
Tacana	749	ENTER	enter	entrar	nubi
Tacana	1452	PUSH	push	empujar	nunu
Tacana	606	GRASS	grass	pasto, hierba	nutsa
Tacana	1856	SOFT	soft	suave	nutsada
Tacana	1839	CRY	cry	llorar	pa
Tacana	1243	WIDE	wide	ancho, amplio	pa aida
Tacana	98	ALL	all	todo	pamapa
Tacana	1719	BURY	bury	enterrar, sepultar	papa, quitane
Tacana	1909	SHAKE	shake	sacudir	patara, ria
Tacana	887	BITTER	bitter	amargo	patseda
Tacana	1437	SPLIT	split	hender, partir	ped’u
Tacana	1418	DIG	dig	cavar, excavar	peda
Tacana	1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)	pejuda
Tacana	1005	TWINS	twins	gemelos, mellizos	pere
Tacana	1493	ONE	one	uno	piada
Tacana	1415	THINK (REFLECT)	think (reflect)	pensar	piba
Tacana	707	REMEMBER	remember	recordar	piba-me
Tacana	1156	OPEN	open	abrir	pirara
Tacana	1631	FAST	fast	ágil	pirida
Tacana	977	ARROW	arrow	flecha	pisa
Tacana	994	BOW	bow	arco	pisatsue
Tacana	493	FIVE	five	cinco	pishica
Tacana	1446	COME	come	venir	pu-e
Tacana	695	GO	go	ir	pu-ti
Tacana	1674	POOR	poor	pobre	puri
Tacana	1500	FOUR	four	cuatro	pushi
Tacana	1157	BECAUSE	because	porque	putsu
