DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Chacobo	1429	FULL	full	lleno	
Chacobo	1839	CRY	cry	llorar	
Chacobo	658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia	
Chacobo	640	MUD	mud	lodo	
Chacobo	1219	WORM	worm	lombriz, gusano	
Chacobo	1313	MOON	moon	luna	
Chacobo	630	LIGHT (RADIATION)	light (radiation)	luz	
Chacobo	1216	MOTHER	mother	madre	
Chacobo	178	RIPE	ripe	maduro	
Chacobo	506	MAIZE	maize	maíz	
Chacobo	1292	BAD	bad	malo	
Chacobo	1329	TOMORROW	tomorrow	mañana	
Chacobo	1339	MORNING	morning	mañana	
Chacobo	798	JAW	jaw	mandíbula	
Chacobo	1277	HAND	hand	mano	
Chacobo	806	BLANKET	blanket	manta	
Chacobo	1200	HUSBAND	husband	marido, esposo	
Chacobo	1791	BUTTERFLY	butterfly	mariposa	
Chacobo	321	CHEW	chew	masticar	
Chacobo	1417	KILL	kill	matar	
Chacobo	1372	MEDICINE	medicine	medicina, remedio	
Chacobo	3208	CENTER OR MIDDLE	center or middle	medio, centro	
Chacobo	1730	CHEEK	cheek	mejilla	
Chacobo	601	LIE (MISLEAD)	lie (mislead)	mentir	
Chacobo	2017	MIX	mix	mezclar, mixturar	
Chacobo	781	FEAR (FRIGHT)	fear (fright)	miedo	
Chacobo	942	HONEY	honey	miel	
Chacobo	1819	LOOK	look	mirar, contemplar	
Chacobo	816	HALF	half	mitad	
Chacobo	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco	
Chacobo	1726	WET	wet	mojado	
Chacobo	1033	GRIND	grind	moler	
Chacobo	420	FOREST	forest	monte, selva	
Chacobo	1403	BITE	bite	morder	
Chacobo	1504	FLY (INSECT)	fly (insect)	mosca	
Chacobo	765	MOVE	move	mover	
Chacobo	77	YOUNG WOMAN	young woman	muchacha, jóven mujer	
Chacobo	76	YOUNG MAN	young man	muchacho, jóven	
Chacobo	1198	MANY	many	muchos	
Chacobo	1666	MUTE	mute	mudo	
Chacobo	962	WOMAN	woman	mujer	
Chacobo	907	OLD WOMAN	old woman	mujer vieja	
Chacobo	1793	BAT	bat	murciélago	
Chacobo	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo	
Chacobo	1090	BE BORN	be born	nacer	
Chacobo	1439	SWIM	swim	nadar	
Chacobo	834	BUTTOCKS	buttocks	nalgas, trasero	
Chacobo	1221	NOSE	nose	nariz	
Chacobo	163	BLACK	black	negro	
Chacobo	539	NEST	nest	nido	
Chacobo	249	FOG	fog	niebla, neblina	
Chacobo	1646	GIRL	girl	niña	
Chacobo	1304	CHILD (YOUNG HUMAN)	child (young human)	niño	
Chacobo	1366	BOY	boy	niño (chico)	
Chacobo	1269	NO	no	no, negativo	
Chacobo	1233	NIGHT	night	noche	
Chacobo	1405	NAME	name	nombre	
Chacobo	1212	WE	we	nosotros/nosotras	
Chacobo	1489	CLOUD	cloud	nube	
Chacobo	1231	NEW	new	nuevo	
Chacobo	1408	HEAR	hear	oír	
Chacobo	1248	EYE	eye	ojo	
Chacobo	978	WAVE	wave	ola	
Chacobo	3653	COOKING POT	cooking pot	olla, paila	
Chacobo	1523	FORGET	forget	olvidar	
Chacobo	1838	NAVEL	navel	ombligo	
Chacobo	1247	EAR	ear	oreja	
Chacobo	592	PISS	piss	orinar	
Chacobo	11	DARKNESS	darkness	oscuridad, tinieblas	
Chacobo	706	DARK	dark	oscuro	
Chacobo	1217	FATHER	father	padre, papá	
Chacobo	937	BIRD	bird	pájaro, ave	
Chacobo	1183	PALM OF HAND	palm of hand	palma de la mano	
Chacobo	498	CALF OF LEG	calf of leg	pantorrilla	
Chacobo	882	PARROT	parrot	papagayo	
Chacobo	1644	RELATIVES	relatives	parientes, parentela	
Chacobo	606	GRASS	grass	pasto, hierba	
Chacobo	1360	DUCK	duck	pato, ánade	
Chacobo	2390	PECCARY	peccary	pecarí	
Chacobo	1592	CHEST	chest	pecho	
Chacobo	1828	ASK (REQUEST)	ask (request)	pedir	
Chacobo	1159	FART	fart	pedo	
Chacobo	1475	COMB	comb	peine	
Chacobo	275	PEEL	peel	pelar	
Chacobo	1423	FIGHT	fight	pelear	
Chacobo	580	FUR	fur	pellejo	
Chacobo	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)	
Chacobo	1222	PENIS	penis	pene	
Chacobo	1415	THINK (REFLECT)	think (reflect)	pensar	
Chacobo	1246	SMALL	small	pequeño	
Chacobo	1660	LOSE	lose	perder	
Chacobo	1564	LAZY	lazy	perezoso	
Chacobo	2009	DOG	dog	perro	
Chacobo	683	PERSON	person	persona, ser humano	
Chacobo	1210	HEAVY	heavy	pesado	
Chacobo	1540	EYELASH	eyelash	pestaña	
Chacobo	227	FISH	fish	pez, pescado	
Chacobo	544	SPICY	spicy	picante	
Chacobo	1301	FOOT	foot	pie	
Chacobo	763	SKIN	skin	piel, cutis, pellejo	
Chacobo	1297	LEG	leg	pierna	
Chacobo	1392	LOUSE	louse	piojo	
Chacobo	1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	
Chacobo	1201	FEATHER	feather	pluma	
Chacobo	1242	FEW	few	pocos	
Chacobo	1728	ROTTEN	rotten	podrido	
Chacobo	2	DUST	dust	polvo	
Chacobo	998	PUT	put	poner	
Chacobo	1157	BECAUSE	because	porque	
Chacobo	2144	SPRING OR WELL	spring or well	pozo, manantial	
Chacobo	1309	ASK (INQUIRE)	ask (inquire)	preguntar	
Chacobo	1913	PRESS	press	presionar	
Chacobo	728	FIRST	first	primero	
Chacobo	1593	DEEP	deep	profundo, hondo	
