ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1299	Araona_IDS	1958	UNRIPE	zowiwi
1300	Araona_IDS	1728	ROTTEN	iwi
1301	Araona_IDS	1728	ROTTEN	oli
1302	Araona_IDS	1728	ROTTEN	c̷oto
1303	Araona_IDS	1401	DRINK	izi
1304	Araona_IDS	1401	DRINK	laka
1305	Araona_IDS	1864	HUNGER	aiǰihae
1306	Araona_IDS	1864	HUNGER	amahoho
1307	Araona_IDS	1421	SUCK	bibi
1308	Araona_IDS	321	CHEW	mia
1309	Araona_IDS	897	SWALLOW	laka
1310	Araona_IDS	1100	COOK (SOMETHING)	hiɲa
1311	Araona_IDS	1100	COOK (SOMETHING)	sapa
1312	Araona_IDS	3653	COOKING POT	ho-towaha
1313	Araona_IDS	3653	COOKING POT	towaha
1315	Araona_IDS	275	PEEL	silo
1316	Araona_IDS	275	PEEL	oha
1317	Araona_IDS	1767	SCRAPE	dede
1318	Araona_IDS	1767	SCRAPE	zeo
1319	Araona_IDS	2017	MIX	walo-walo
1320	Araona_IDS	1594	FLOUR	awoc̷a
1321	Araona_IDS	1033	GRIND	dodo
1322	Araona_IDS	1033	GRIND	semi-semi-a
1323	Araona_IDS	634	MEAT	e-ami, emi
1324	Araona_IDS	1507	FRUIT	haha
1325	Araona_IDS	323	FAT (ORGANIC SUBSTANCE)	e-c̷ei
1326	Araona_IDS	919	CHILI PEPPER	bizo
1327	Araona_IDS	942	HONEY	waha
1328	Araona_IDS	635	MILK	soso-na
1329	Araona_IDS	731	BEVERAGE	ena
1330	Araona_IDS	731	BEVERAGE	namia-izi
1331	Araona_IDS	404	ALCOHOL (FERMENTED DRINK)	hahotana
1332	Araona_IDS	744	EGG	eha
1333	Araona_IDS	744	EGG	walipa-ha
1334	Araona_IDS	1895	CLOTHES	haiba-i
1335	Araona_IDS	1895	CLOTHES	maša
1336	Araona_IDS	1616	CLOTH	maša
1337	Araona_IDS	1616	CLOTH	maha
1338	Araona_IDS	1850	COTTON	wapehe
1339	Araona_IDS	580	FUR	biki
1340	Araona_IDS	133	WEAVE	kʷai
1341	Araona_IDS	133	WEAVE	lewa
1342	Araona_IDS	1457	SEW	likʷi
1343	Araona_IDS	1382	NEEDLE (FOR SEWING)	šopili
1344	Araona_IDS	1161	THREAD	mahi
1345	Araona_IDS	772	BELT	telihi
1346	Araona_IDS	772	BELT	timaihi
1347	Araona_IDS	1374	RING	kʷaloloihi
1348	Araona_IDS	1961	NECKLACE	iɲe
1349	Araona_IDS	1475	COMB	sopa
1354	Araona_IDS	1252	HOUSE	e-tae
1355	Araona_IDS	1567	DOOR	c̷ekʷe tomo-i
1356	Araona_IDS	806	BLANKET	donoi
1357	Araona_IDS	1476	CHAIR	e-ani-hi
1358	Araona_IDS	769	ROOF	wana
1361	Araona_IDS	212	FIELD	zei
1362	Araona_IDS	212	FIELD	tehe
1363	Araona_IDS	1418	DIG	loe
1364	Araona_IDS	714	SEED	haha
1365	Araona_IDS	506	MAIZE	zia
