CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
1329	TOMORROW	tomorrow	mañana	amanhã
1333	NECK	neck	cuello	pescoço
1334	GUTS	guts	tripas	vísceras
1335	WHITE	white	blanco	branco
1336	EAT	eat	comer	comer
1337	PIG	pig	cerdo, puerco	porco europeu
1339	MORNING	morning	madrugada	manhã
1340	WITH	with	con	
1341	HEAT UP	heat up	calentar	
1342	SUMMER	summer	verano	verão
1343	SUN	sun	sol	sol
1346	THROAT	throat	garganta	gargante
1350	MONKEY	monkey	mono/s	macaco
1355	LAUGH	laugh	reír	rir
1358	ENEMY	enemy	enemigo	inimigo
1359	SEPARATE	separate	separar, apartar	separar
1360	DUCK	duck	pato, ánade	pato
1363	VOICE	voice	voz	voz
1366	BOY	boy	niño (chico)	menino, garoto
1371	KNEE	knee	rodilla	joelho
1372	MEDICINE	medicine	medicina, remedio	medicamento, remédio
1374	RING	ring	anillo, sortija	anel
1376	NOW	now	ahora	agora
1380	TOOTH	tooth	dientes	dente
1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja	agulha
1383	GRANDFATHER	grandfather	abuelo	avô
1387	ARRIVE	arrive	llegar, alcanzar	chegar
1388	SHADE	shade	sombra	sombra
1392	LOUSE	louse	piojo	piolho
1393	HORN (ANATOMY)	horn (anatomy)	cuerno	chifre, corno
1394	BONE	bone	hueso	ossos
1396	SHARP	sharp	afilado, aguzado, filoso	agudo, afiado
1398	DRY	dry	seco	seco
1401	DRINK	drink	beber, tomar	beber, tomar
1402	BREAST	breast	teta, seno, pechos	seio, mama
1403	BITE	bite	morder	morder
1404	STRAIGHT	straight	recto	reto
1405	NAME	name	nombre	nome
1406	FAR	far	lejos	longe
1407	BREATHE	breathe	respirar	respirar
1408	HEAR	hear	oír	ouvir
1409	SEE	see	ver	ver
1410	KNOW (SOMETHING)	know (something)	saber	saber
1411	LIE (REST)	lie (rest)	acostarse (acostado)	DEITAR (-SE)
1413	PLAY	play	jugar	jogar, brincar
1414	SQUEEZE	squeeze	exprimir	espremer, comprimir
1415	THINK (REFLECT)	think (reflect)	pensar (cogitar)	pensar
1416	SIT	sit	sentado	sentar-se
1417	KILL	kill	matar	matar
1418	DIG	dig	cavar, excavar	cavar, escavar
1419	FEAR (BE AFRAID)	fear (be afraid)	tener miedo	ter medo
1421	SUCK	suck	chupar, mamar	chupar, sugar
1422	BE ALIVE	be alive	vivo	vivo
1423	FIGHT	fight	pelear	lutar
1424	YELLOW	yellow	amarillo	amarelo
1425	GREEN	green	verde (color)	verde
1428	BURNING	burning	arder	queimar, arder
1429	FULL	full	lleno	estar cheio
1430	STAR	star	estrella	estrela
1432	CUT	cut	cortar	cortar
1433	HIT	hit	golpear	bater
1434	STAB	stab	achurar, acuchillar	
1435	HUNT	hunt	cazar	caçar
1437	SPLIT	split	hender, partir	rachar
1439	SWIM	swim	nadar	nadar
1440	SPIT	spit	escupir (saliva [noun])	cuspir
1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	voar
1442	STAND	stand	poner(se) de pie	levantar-se
1443	WALK	walk	caminar, andar	andar, caminhar
1444	TURN AROUND	turn around	voltear, dar vuelta	voltar, dar a volta
1446	COME	come	venir	vir
1447	GIVE	give	dar	dar
1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar
1449	RUB	rub	frotar, enjugar	esfregar
1452	PUSH	push	empujar	empurrar
1453	WASH	wash	lavar	lavar
1454	WIPE	wipe	limpiar	
1455	PULL	pull	jalar	puxar
1456	THROW	throw	tirar	jogar
1457	SEW	sew	coser	costurar
1458	SAY	say	decir	dizer
1463	DRUNK	drunk	ebrio	embriagado
1468	LOOK FOR	look for	buscar (mirar)	buscar, procurar
1473	FIST	fist	puño	
1475	COMB	comb	peine	pente
1476	CHAIR	chair	silla	cadeira
1480	BODY	body	cuerpo	corpo
1482	SHOULDER	shoulder	hombro	ombro
1485	BELOW OR UNDER	below or under	debajo	embaixo de
1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar	plantar, semear
1489	CLOUD	cloud	nube	nuvem
1490	RAT	rat	rata	RATO
1491	MOUSE	mouse	ratón	camundongo
1493	ONE	one	uno	um, uma
1494	DIE	die	morir	morrer
1496	GRANDMOTHER	grandmother	abuela	avó
1498	TWO	two	dos	dois, duas
1500	FOUR	four	cuatro	quatro
1504	FLY (INSECT)	fly (insect)	mosca	mosca
1507	FRUIT	fruit	fruto	fruta
1509	MOSQUITO	mosquito	zancudo	mosquito
1510	CHIN	chin	barbilla, mentón	queixo
1512	RISE (ONESELF)	rise (oneself)	alzarse. levantarse	
1517	WASP	wasp	avispa	vespa
1519	RUN	run	correr	correr
1520	CRUSH	crush	machacar, aplastar	
1523	FORGET	forget	olvidar	esquecer-se
1524	ACCOMPANY	accompany	acompañar	vinho
1531	BRANCH	branch	rama	galho
