DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Chipaya	1333	NECK	qwazi
Chipaya	1452	PUSH	rimpuj-z, tejuk-z
Chipaya	1973	DEMON	sajra, supaya
Chipaya	1287	COLD	saki
Chipaya	1392	LOUSE	sami
Chipaya	1784	WANT	sik-z
Chipaya	1828	ASK (REQUEST)	sik-z
Chipaya	1025	WHISTLE	smew-z
Chipaya	11	DARKNESS	sum-chi
Chipaya	1657	TRUE	suti
Chipaya	2017	MIX	t’aj-z
Chipaya	138	BATHE	t’ajun-z, aju-z
Chipaya	1743	JOIN	t’ej-z
Chipaya	1291	BACK	taj, taja
Chipaya	806	BLANKET	talu
Chipaya	908	DRUM	tampura, kaja
Chipaya	1435	HUNT	tan-z
Chipaya	1307	LANGUAGE	taqu
Chipaya	506	MAIZE	tara
Chipaya	3208	CENTER OR MIDDLE	taypi, chika, mora
Chipaya	1913	PRESS	teq-z, ñeq-z
Chipaya	1447	GIVE	thaa-z
Chipaya	1585	SLEEP	thaj-z
Chipaya	960	WIND	thami
Chipaya	713	STEAL	thañ-z, qhañ-z
Chipaya	1355	LAUGH	thaz-z
Chipaya	682	SIDE	thiya, qhut
Chipaya	1446	COME	thon-z, pich-z
Chipaya	2004	BEND	thot-z
Chipaya	76	YOUNG MAN	thowa
Chipaya	1207	YOUNG	thowa, tura
Chipaya	1523	FORGET	thowat-z
Chipaya	1719	BURY	thowat-z, that-z
Chipaya	1440	SPIT	thujt-z
Chipaya	1199	WIFE	thun, thuna
Chipaya	962	WOMAN	thuna
Chipaya	1343	SUN	thuñi
Chipaya	3188	MIGHTY OR POWERFUL OR STRONG	thupi
Chipaya	539	NEST	thura
Chipaya	1405	NAME	thuu
Chipaya	1838	NAVEL	toñi
Chipaya	1393	HORN (ANATOMY)	tothi, irqi
Chipaya	1403	BITE	tr’at-z
Chipaya	1923	ROUGH	trhaj-ta, zqira
Chipaya	1201	FEATHER	trhak-z, chhij-z
Chipaya	256	FOOD	trher-i
Chipaya	1248	EYE	trhuki
Chipaya	1540	EYELASH	trhuki-tsemz
Chipaya	1238	WHEN	trhul-ora
Chipaya	1236	WHAT	trhulu, kuna
Chipaya	1920	DREAM (SOMETHING)	trhuw-z
Chipaya	1429	FULL	ts’ak-z, chhip-z
Chipaya	1404	STRAIGHT	ts’iru
Chipaya	1750	CHOOSE	tsap-z
Chipaya	1879	DANCE	tsat-z
Chipaya	1909	SHAKE	tsat-z
Chipaya	1591	UP	tseku
Chipaya	1732	SKY	tseku-pacha, araj-pacha
Chipaya	1766	FINISH	tshak-z
Chipaya	1489	CLOUD	tshiri
Chipaya	155	CHOP	tshiw-z, skew-z
Chipaya	1394	BONE	tsij
Chipaya	168	REST	tsit-z, heej-z
Chipaya	163	BLACK	tsok
Chipaya	1230	DIRTY	tsok-chi
Chipaya	2144	SPRING OR WELL	tuj
Chipaya	77	YOUNG WOMAN	tura
Chipaya	1289	BABY	tutu
Chipaya	1571	SELL	tuy-z
Chipaya	1223	HEART	tuzi
Chipaya	221	FIRE	uj
Chipaya	1517	WASP	uj-uj-ñi
Chipaya	1107	GO OUT	ul-z
Chipaya	1752	LEAVE	ul-z
Chipaya	1242	FEW	upa, akuch’a
Chipaya	1646	GIRL	uz
Chipaya	1366	BOY	uza
Chipaya	1413	PLAY	uzin-z
Chipaya	1819	LOOK	wak-z
Chipaya	1198	MANY	walja, zmali, tshanti
Chipaya	1430	STAR	wara-wara
Chipaya	1226	YEAR	wata
Chipaya	1602	WAKE UP	wath-z, zhaa-z
Chipaya	719	FIND	watr-z, hwes-z
Chipaya	843	SPIDER	wayu
Chipaya	1233	NIGHT	weena
Chipaya	1339	MORNING	weenz-laqa
Chipaya	297	CROOKED	wejru
Chipaya	1209	I	wer
Chipaya	937	BIRD	wezhla
Chipaya	834	BUTTOCKS	wir-pata
Chipaya	1686	BEHIND	wiri
Chipaya	1455	PULL	yak-z
Chipaya	1274	SALT	yaku
Chipaya	1897	HELP	yanap-z, nanap-z
Chipaya	1241	SOME	yaqhapa, mayjana
Chipaya	705	GO UP (ASCEND)	yaw-z
Chipaya	1883	IN FRONT OF	yuk-kizi
Chipaya	1560	FACE	yuk, yuki
Chipaya	2159	GROUND	yuqa
Chipaya	592	PISS	zaju-z
Chipaya	203	MARRY	zal-z, chhal-z
Chipaya	762	OUTSIDE	zan-khu, zan-ku
Chipaya	1519	RUN	zat-z
Chipaya	2003	FLOW	zat-z
Chipaya	670	ROOT	zep’a
Chipaya	1174	YESTERDAY	zez-khu
Chipaya	1629	EVENING	zezi
Chipaya	773	HAVE	zhel-z
Chipaya	1539	BASKET	zhepa
Chipaya	1019	RIGHT	zhewa
Chipaya	1778	APPROACH	zhkatzin-z, makat-z
Chipaya	704	CLEAN	zhkayi, llumpaqa
Chipaya	1267	NARROW	zhkhaqa, khullku
Chipaya	928	EMBRACE	zhkhor-z
Chipaya	1043	BRAID	zhkur-z
Chipaya	1457	SEW	zhkuu-z
Chipaya	1533	BE HUNGRY	zhkuy-z
Chipaya	683	PERSON	zhoñi, zhon
Chipaya	778	SMOKE (EXHAUST)	zhqet-i
Chipaya	676	SHIT (DEFECATE)	zhqoñ-z
Chipaya	679	BRIGHT	zhqori, llij-ñi
Chipaya	133	WEAVE	zhquw-z, wats-z
Chipaya	10	FIREWOOD	zhup, chhola
Chipaya	692	BRING	zikh-z
Chipaya	1580	ONLY	zina
Chipaya	744	EGG	ziñi
Chipaya	797	TESTICLES	ziñi
Chipaya	678	BEARD	zipz, zipza
Chipaya	1388	SHADE	ziwza
Chipaya	1410	KNOW (SOMETHING)	ziz-z
Chipaya	503	FROG	zkicha
Chipaya	1895	CLOTHES	zkiti
Chipaya	489	KIDNEY	zkozi
Chipaya	212	FIELD	zqala, tunari
Chipaya	1633	FLAT	zqata, sejwa
Chipaya	244	LEFT	zqhara
Chipaya	1583	BRAIN	zqhepla
Chipaya	1324	SLIP	zqhir-z, llust’i-z
Chipaya	1543	SNAIL	zqiri-piña
Chipaya	763	SKIN	zqizi
Chipaya	580	FUR	zqizi, aphu
Chipaya	730	SNAKE	zqora
