ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
EseEjja-tooth-1-1,EseEjja-tooth-1,e'seʔ,4762,false,expert,,s e.ʔ ( - - ),false,expert
EseEjja-neck-1-1,EseEjja-neck-1,e-piki,5249,false,expert,,p i k i,false,expert
EseEjja-throat-1-1,EseEjja-throat-1,e-kahaha,2306,false,expert,,k a - - + h a h a,false,expert
EseEjja-shoulder-1-1,EseEjja-shoulder-1,e-ɓaʔaxa,6108,false,expert,,ɓ a ʔ a x a,false,expert
EseEjja-shoulder-2-1,EseEjja-shoulder-2,e-ɓeyoxo,4447,false,expert,,ɓ e + j o x o,false,expert
EseEjja-arm-1-1,EseEjja-arm-1,e-aa,1050,false,expert,,a - a,false,expert
EseEjja-armpit-1-1,EseEjja-armpit-1,enakʷiši,1375,false,expert,,n a kʷ i ʃ i,false,expert
EseEjja-elbow-1-1,EseEjja-elbow-1,e-ɓašo,5799,false,expert,,ɓ a ʃ o ( - ),false,expert
EseEjja-hand-1-1,EseEjja-hand-1,e-me,5885,false,expert,,m e,false,expert
EseEjja-palmofhand-1-1,EseEjja-palmofhand-1,e-me-xoto,5933,false,expert,,m e + x o t o,false,expert
EseEjja-finger-1-1,EseEjja-finger-1,e-me-sisi,5930,false,expert,,m e + s i s i,false,expert
EseEjja-fingernail-1-1,EseEjja-fingernail-1,e-me-kiši,5919,false,expert,,m e + k i - + ʃ i,false,expert
EseEjja-leg-1-1,EseEjja-leg-1,e-kise,6049,false,expert,,k i s e ( - - - ),false,expert
EseEjja-leg-2-1,EseEjja-leg-2,e-ahoho,4749,false,expert,,a h o h o,false,expert
EseEjja-upperlegthigh-1-1,EseEjja-upperlegthigh-1,e-kise,6049,false,expert,,k i s e ( - - - ),false,expert
EseEjja-knee-1-1,EseEjja-knee-1,e-kʷio-šaxa,6123,false,expert,,kʷ i - o + ʃ a x a,false,expert
EseEjja-foot-1-1,EseEjja-foot-1,e-hioxi,1179,false,expert,,h i o + x i,false,expert
EseEjja-foot-2-1,EseEjja-foot-2,exioxi,1179,false,expert,,x i o + x i,false,expert
EseEjja-heel-1-1,EseEjja-heel-1,e-xioxi-kokaxi,5482,false,expert,,x i o x i + k o k a x i,false,expert
EseEjja-footprint-1-1,EseEjja-footprint-1,exioxi,1179,false,expert,,x i o + x i,false,expert
EseEjja-wing-1-1,EseEjja-wing-1,e-kʷičo,136,false,expert,,kʷ i tʃ o,false,expert
EseEjja-feather-1-1,EseEjja-feather-1,e-kʷičo,136,false,expert,,kʷ i tʃ o,false,expert
EseEjja-feather-2-1,EseEjja-feather-2,ɓoʔɓa,5780,false,expert,,ɓ o.ʔ + ɓ a ( - - ),false,expert
EseEjja-feather-3-1,EseEjja-feather-3,eɲa,112,false,expert,,( - ) - ɲ a,false,expert
EseEjja-chest-1-1,EseEjja-chest-1,e-seʔo,177,false,expert,,s ( e ʔ ) o,false,expert
EseEjja-chest-2-1,EseEjja-chest-2,e-kʷae,2377,false,expert,,( - ) kʷ a ( e ),false,expert
EseEjja-breast-1-1,EseEjja-breast-1,tooxo,167,false,expert,,t !oo/o x o ( - ),false,expert
EseEjja-navel-1-1,EseEjja-navel-1,xono,5804,false,expert,,x o n o,false,expert
EseEjja-heart-1-1,EseEjja-heart-1,e-kihixi,4421,false,expert,,k i h i ( x i ),false,expert
EseEjja-lung-1-1,EseEjja-lung-1,e-šaho,286,false,expert,,ʃ a ( h o - ),false,expert
EseEjja-lung-2-1,EseEjja-lung-2,hekišeha,282,false,expert,,h e k i + ʃ e + h a,false,expert
EseEjja-liver-1-1,EseEjja-liver-1,e-kakʷa,294,false,expert,,k a + kʷ a,false,expert
EseEjja-liver-2-1,EseEjja-liver-2,e-takʷa,292,false,expert,,t a ( - ) + kʷ a,false,expert
EseEjja-kidney-1-1,EseEjja-kidney-1,e-ɓetete,4649,false,expert,,ɓ e t e t e,false,expert
EseEjja-stomach-1-1,EseEjja-stomach-1,e-maxii,378,false,expert,,m a x i i,false,expert
EseEjja-stomach-2-1,EseEjja-stomach-2,teexani,316,false,expert,,t e e x a n i,false,expert
EseEjja-buttocks-1-1,EseEjja-buttocks-1,e-kii,1344,false,expert,,k i i,false,expert
EseEjja-buttocks-2-1,EseEjja-buttocks-2,e-xoɓoča,455,false,expert,,x o ɓ o tʃ a,false,expert
EseEjja-cough-1-1,EseEjja-cough-1,oho,3673,false,expert,,- o h o,false,expert
EseEjja-sneeze-1-1,EseEjja-sneeze-1,ači-,753,false,expert,,a tʃ i,false,expert
EseEjja-spit-1-1,EseEjja-spit-1,kʷičo-hea-,220,false,expert,,kʷ i tʃ o + h e ( - ) a,false,expert
EseEjja-vomit-1-1,EseEjja-vomit-1,ɓowi-,737,false,expert,,ɓ o w i,false,expert
EseEjja-bite-1-1,EseEjja-bite-1,šowika-,5838,false,expert,,ʃ o w i + k a,false,expert
EseEjja-lick-1-1,EseEjja-lick-1,sioka-,4756,false,expert,,s i - o + k a,false,expert
EseEjja-sleep-1-1,EseEjja-sleep-1,kawi-,910,false,expert,,k a w i -,false,expert
EseEjja-sleep-2-1,EseEjja-sleep-2,kawe-ani,911,false,expert,,k a w e - + a n i,false,expert
EseEjja-snore-1-1,EseEjja-snore-1,yaka-nahe,870,false,expert,,j a + k a,false,expert
EseEjja-dreamsomething-1-1,EseEjja-dreamsomething-1,xa-kawi-ɓaki-nahe,2476,false,expert,,x a + k a w i - + ɓ a k i,false,expert
EseEjja-wakeup-1-1,EseEjja-wakeup-1,šeki-,379,false,expert,,( - ) ʃ e k i,false,expert
EseEjja-piss-1-1,EseEjja-piss-1,wia-,5543,false,expert,,w i - a,false,expert
EseEjja-shitdefecate-1-1,EseEjja-shitdefecate-1,see-,6053,false,expert,,- - s !ee/e,false,expert
EseEjja-shiver-1-1,EseEjja-shiver-1,peo-peo-nahe,1024,false,expert,,p e o + p e o,false,expert
EseEjja-shiver-2-1,EseEjja-shiver-2,kaka-kaka-nahe,1038,false,expert,,k a k a + k a k a,false,expert
EseEjja-bathe-1-1,EseEjja-bathe-1,šeweša-,4406,false,expert,,ʃ e w e + - - ʃ a,false,expert
EseEjja-beborn-1-1,EseEjja-beborn-1,kʷaya-,4483,false,expert,,kʷ a j a,false,expert
EseEjja-kill-1-1,EseEjja-kill-1,kekʷa-,6084,false,expert,,k e kʷ a,false,expert
EseEjja-bury-1-1,EseEjja-bury-1,ɓohea-,2696,false,expert,,- ɓ o h e a,false,expert
EseEjja-bury-2-1,EseEjja-bury-2,owahea-,1295,false,expert,,o w a h e a,false,expert
EseEjja-mightyorpowerfulorstrong-1-1,EseEjja-mightyorpowerfulorstrong-1,xanoɓaximanee,5077,false,expert,,x a n o ɓ a x i m a n e e,false,expert
EseEjja-sick-1-1,EseEjja-sick-1,-mano,4720,false,expert,,m a n o,false,expert
EseEjja-wound-1-1,EseEjja-wound-1,e-kekʷaʔaha,995,false,expert,,k e kʷ a ʔ a h a,false,expert
EseEjja-pus-1-1,EseEjja-pus-1,esi,1114,false,expert,,s i,false,expert
EseEjja-cure-1-1,EseEjja-cure-1,šikʷi-,2333,false,expert,,ʃ i kʷ i,false,expert
EseEjja-cure-2-1,EseEjja-cure-2,čikʷi-,2327,false,expert,,tʃ i kʷ i,false,expert
EseEjja-cure-3-1,EseEjja-cure-3,wakia,1139,false,expert,,w a k i a,false,expert
EseEjja-rest-1-1,EseEjja-rest-1,homišoka-,5713,false,expert,,h o m i ʃ o + k a,false,expert
EseEjja-lazy-1-1,EseEjja-lazy-1,-wea,4721,false,expert,,w e a,false,expert
EseEjja-deaf-1-1,EseEjja-deaf-1,-keɓa,4231,false,expert,,k e ɓ a,false,expert
EseEjja-deaf-2-1,EseEjja-deaf-2,hašaxaʔakiaha,5171,false,expert,,h a + ʃ a x a + ʔ a k i a h a,false,expert
EseEjja-mute-1-1,EseEjja-mute-1,-kahi,5198,false,expert,,k a h i,false,expert
EseEjja-drunk-1-1,EseEjja-drunk-1,kekʷaɲakaxi,2871,false,expert,,k e kʷ a ɲ a k a x i,false,expert
EseEjja-eat-1-1,EseEjja-eat-1,ixia-,4088,false,expert,,i x i a,false,expert
EseEjja-food-1-1,EseEjja-food-1,eixiaxi,4090,false,expert,,i x i a + x i,false,expert
EseEjja-raw-1-1,EseEjja-raw-1,-eše,5705,false,expert,,ʃ e,false,expert
EseEjja-ripe-1-1,EseEjja-ripe-1,ke-ahawa,1555,false,expert,,k e a + h a w a,false,expert
EseEjja-rotten-1-1,EseEjja-rotten-1,-ʔiwi,1216,false,expert,,ʔ i w i,false,expert
EseEjja-rotten-2-1,EseEjja-rotten-2,-tai,5815,false,expert,,t a i,false,expert
EseEjja-drink-1-1,EseEjja-drink-1,iši-ka-,1279,false,expert,,i ʃ i + k a,false,expert
EseEjja-hunger-1-1,EseEjja-hunger-1,-šoʔe,4568,false,expert,,ʃ o ʔ e,false,expert
EseEjja-suck-1-1,EseEjja-suck-1,toxo-,167,false,expert,,t o x o ( - ),false,expert
EseEjja-swallow-1-1,EseEjja-swallow-1,ixia-hea-,4091,false,expert,,i x i a + h e ( - ) a,false,expert
EseEjja-cooksomething-1-1,EseEjja-cooksomething-1,kʷakʷa-nahe,2144,false,expert,,kʷ a + kʷ a,false,expert
EseEjja-peel-1-1,EseEjja-peel-1,šiʔyo-,5492,false,expert,,ʃ i ʔ j o,false,expert
EseEjja-scrape-1-1,EseEjja-scrape-1,ɗiʔi-,5828,false,expert,,ɗ i ʔ i,false,expert
EseEjja-mix-1-1,EseEjja-mix-1,iɲapowi-,5107,false,expert,,i ɲ a p o w i,false,expert
EseEjja-mix-2-1,EseEjja-mix-2,wa-,5106,false,expert,,w a - -,false,expert
EseEjja-grind-1-1,EseEjja-grind-1,taxa-ka-,1304,false,expert,,t a x a + k a,false,expert
EseEjja-meat-1-1,EseEjja-meat-1,noe,1311,false,expert,,n o e,false,expert
EseEjja-meat-2-1,EseEjja-meat-2,e-yami,5016,false,expert,,j a m i,false,expert
EseEjja-fruit-1-1,EseEjja-fruit-1,e-xaxa,3069,false,expert,,x a + x a,false,expert
EseEjja-fatorganicsubstance-1-1,EseEjja-fatorganicsubstance-1,e-sei,3597,false,expert,,s e - i,false,expert
EseEjja-honey-1-1,EseEjja-honey-1,wini,4509,false,expert,,w i n i,false,expert
EseEjja-honey-2-1,EseEjja-honey-2,widi,1329,false,expert,,w i d i,false,expert
